,0\O 
10\O ,"\O What\Eng has\Eng fate\Eng in\Eng store\Eng for\Eng Murad\Hin=मुरद Ali\Eng Mohammed\Eng ?\O Find\Eng out\Eng in\Eng the\Eng teaser\Eng tomorrow\Eng 
#\O MyMulk\Eng .\O 

@\O chintskap\Eng @\O benarasmedia\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O WOQPiOlb5e\Eng "\O 
11\O ,"\O Watch\Eng the\Eng making\Eng of\Eng the\Eng power-packed\Eng #\O SoormaAnthem\Eng here\Eng :\O https\Eng ://\O t\Eng .\O co\Eng /\O dtUNU9XtSB\Eng 
@\O sonypicsprodns\Hin=सोंआइपिक्स्प्रोड्न @\O ShankarEhsanLoy\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O XHfedvBVj7\Hin=क्सफ़ेद्वब्व्ज्7 "\O 
12\O ,"\O RT\Eng @\O TheReel\Eng _\O in\Hin=इन :\O .@\O Taapsee\Hin=टापसी interview\Eng :\O ‘\O I\Eng am\Hin=आम an\Eng outsider\Eng in\Eng all\Eng possible\Eng ways\Eng and\Eng it\Eng is\Eng a\Eng big\Eng plus\Eng point\Eng ’\O https\Eng ://\O t\Eng .\O co\Eng /\O ji18kWx6S8\Eng 

“\O A\Eng person\Eng …"\O 
13\O ,"\O RT\Eng @\O SrBachchan\Hin=शरबचचान :\O T\Hin=त 2848\O -\O To\Hin=तू SOORMA\Hin=सूर्मा ,\O my\Hin=मी best\Eng wishes\Eng ..\O to\Eng the\Eng director\Eng and\Eng friend\Eng Shaad\Hin=शाअद् ;\O to\Hin=तू my\Eng colleague\Eng Taapsee\Eng ;\O to\Eng a\Eng bright\Eng talent\Eng and\Eng ad\Eng …"\O 
14\O ,@\O SrBachchan\Hin=शरबचचान Yayy\Hin=य्यी !!!\O And\Hin=एंड I\Eng shall\Eng thank\Eng u\Eng in\Eng person\Eng on\Eng set\Eng Today\Eng 😁😁😁\O 
15\O ,@\O Imangadbedi\Hin=इमंगडबेदी Hahahhhahaha\Hin=हहहहाह .\O Dilli\Hin=दिल्ली Abhi\Hin=अभी duur\Hin=दूर hai\Hin=हैं Bedi\Hin=बेदी !\O 
16\O ,"\O Soaking\Eng up\Eng the\Eng Roman\Eng sun\Eng in\Eng this\Eng polka\Eng crop\Eng top\Eng from\Eng @\O mykoovs\Eng 
#\O TaapseeXKOOVS\Hin=टापसेक्स्कोव #\O KOOVSXYOU\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O juPqzWE3FF\Hin=जप्क़्ज़्वे3फ़ "\O 
17\O ,\O That\Eng ’\O s\Eng amazing\Eng !\O Thank\Eng u\Eng so\Eng much\Eng !\O https\Eng ://\O t\Eng .\O co\Eng /\O POZ7LkGimz\Eng 
18\O ,"\O Piche\Hin=पीछे mere\Hin=मेर andhera\Hin=अंधेरा 
Aage\Hin=आगे andhi\Hin=अंधी aandhi\Hin=आँधी hai\Hin=हैं 
Maine\Hin=मैंने aisi\Hin=इसी aandhi\Hin=आँधी mein\Hin=मेइं 
Diya\Hin=दिया jalaaya\Hin=जलाया hai\Hin=हैं .....\O 
#\O SoormaAnthem\Hin=सूर्मान्थम out\Hin=आउट now\Eng .\O 
Read\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 9Dgz9uxxDA\Eng "\O 
19\O ,\O This\Eng was\Eng fun\Eng !\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 5JIyAK3Dwj\Eng 
20\O ,\O RT\Eng @\O sonymusicindia\Eng :\O The\Eng inspiration\Eng has\Eng taken\Eng over\Eng the\Eng entire\Eng nation\Eng !\O #\O SoormaAnthem\Hin=सूर्मान्थम trending\Eng at\Eng No\Eng .\O #1.\O Watch\Eng it\Eng here\Eng :\O https\Eng ://\O t\Eng .\O co\Hin=को /\O pdKIvqr\Hin=प्ड्किव्क़्र …\O 
21\O ,"\O Dedicated\Eng to\Eng all\Eng the\Eng #\O Soormas\Eng in\Eng the\Eng world\Hin=वर्ल्ड !\O #\O SoormaAnthem\Hin=सूर्मान्थम out\Hin=आउट NOW\Hin=नो !\O https\Eng ://\O t\Eng .\O co\Hin=को /\O RffeSYQtaP\Hin=र्फ्फेस्य्कताप 

@\O sonypicsprodns\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O Xnl0bLyu3j\Eng "\O 
22\O ,"\O Aint\Hin=अइँत no\Eng holiday\Eng without\Eng a\Eng fun\Eng pair\Eng of\Eng dungarees\Eng ,\O head\Eng to\Eng toe\Eng in\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O 2tcBhNOtrZ\Hin=2च्भ्नोत्र्ज for\Hin=फॉर my\Hin=मी Roman\Eng Holiday\Eng !…\O https\Eng ://\O t\Eng .\O co\Eng /\O oajTjkPC6k\Eng "\O 
23\O ,"\O RT\Hin=अर्त @\O ShankarEhsanLoy\Hin=शंअकारहसनलौय :\O Only\Hin=ओन्ली a\Eng few\Eng hours\Eng to\Eng go\Eng for\Eng the\Eng launch\Eng of\Eng the\Hin=ते #\O SoormaAnthem\Hin=सूर्मान्थम ...\O How\Eng excited\Eng are\Eng you\Hin=यूं ?\O 
@\O diljitdosanjh\Hin=दिलजितडोसाँझ @\O taapsee\Hin=टापसी @\O IChitrangd\Hin=इचित्रांग्ड …"\O 
24\O ,"\O RT\Eng @\O sonymusicindia\Hin=सोंइम्यूजिइंधिया :\O When\Eng in\Eng love\Eng ,\O the\Eng anticipation\Eng and\Eng nervousness\Eng is\Eng relatable\Eng ,\O isn\Eng ’\O t\Eng it\Eng ?\O Watch\Hin=वाच #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ here\Hin=हेरे :\O https\Eng ://\O t\Eng .\O co\Hin=को /\O kkbvoo\Hin=क्कब्वू …"\O 
25\O ,@\O anubhavsinha\Hin=अनूभावसिंघा @\O chintskap\Eng @\O Neenagupta001\Eng @\O mrrajatkapoor\Eng @\O PracheePaandya\Hin=प्रचीपाँड्य @\O AshrutJain\Hin=आश्रुतजाऐन @\O 28singhvartika\Eng Ab\Hin=अब !\O Mujhe\Hin=मुझे laga\Hin=लग ho\Hin=ह gaya\Hin=गया tha\Hin=ता pehle\Hin=पहले 🤷🏻‍♀️\O 
26,🏑💪🏼\O https\Eng ://\O t\Eng .\O co\Eng /\O c5XnzPTU7W\Eng 
27\O ,\O The\Eng first\Eng day\Eng of\Eng shoot\Eng ....\O the\Eng first\Eng scene\Eng for\Eng me\Hin=मे in\Eng the\Eng film\Eng ...\O the\Eng first\Eng time\Eng I\Eng played\Eng hockey\Eng ....\O and\Eng the\Eng first\Eng t\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O dtPmlGqkwc\Hin=ड्त्प्म्ल्ग्क़्कव्क 
28\O ,“\O Life\Eng begins\Eng at\Eng the\Eng end\Eng of\Eng your\Eng comfort\Eng zone\Eng ”\O #\O WORD\Eng 👏🏼👏🏼\O https\Eng ://\O t\Eng .\O co\Eng /\O F3hsGu3PS7\Eng 
29,👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼\O https\Eng ://\O t\Eng .\O co\Eng /\O 8BGvqsZKyF\Eng 
30\O ,"\O RT\Eng @\O sonymusicindia\Eng :\O Inspiration\Eng in\Eng its\Eng highest\Eng form\Eng is\Eng all\Eng set\Eng to\Eng unleash\Eng itself\Eng !\O #\O SoormaAnthem\Eng releases\Eng on\Eng 25th\Eng June\Eng ,\O 2018.\O 

@\O DiljitDosanj\Hin=दिलजितडोसाँझ …"\O 
31\O ,"“\O Yaad\Hin=याद aa\Hin=आआ jaye\Hin=जाये to\Hin=तू tera\Hin=तेरा naam\Hin=नाअम् leke\Hin=लेके jhoom\Hin=झूम lu\Hin=लू 
Shaam\Hin=शाअम् aa\Hin=आआ jaye\Hin=जाये to\Hin=तू uth\Hin=उठ ke\Hin=क 
Chaand\Hin=चाँद ka\Hin=का maatha\Hin=माथा choom\Hin=चूम lu\Hin=लू 
Ve\Hin=वी main\Hin=मां saare\Hin=सारे dukh\Hin=दुख sehna\Hin=सहना …\O https\Eng ://\O t\Eng .\O co\Eng /\O XC1SBe0jHx\Eng "\O 
32\O ,\O The\Eng magnificent\Eng trio's\Eng melody\Hin=मेलोडी #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ is\Hin=इस spreading\Eng love\Eng in\Eng the\Eng air\Eng this\Eng season\Eng .\O Check\Eng out\Eng the\Eng making\Eng of\Eng th\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O Y1ssT4Idvz\Eng 
33\O ,"\O RT\Eng @\O sonymusicindia\Eng :\O Give\Eng your\Eng callers\Eng a\Eng soulful\Eng treat\Eng !\O Dial\Eng the\Eng code\Eng &\O amp\Eng ;\O set\Hin=सेत #\O IshqDiBaajiyan\Hin=इश्क़्दीबाजियाँ from\Hin=फ्रोम #\O Soorma\Hin=सूर्मा as\Hin=आस your\Eng caller\Eng tune\Eng now\Eng .\O 

@\O DiljitDo\Hin=दिलजितडों …"\O 
34\O ,\O I\Hin=इ know\Eng she\Eng is\Eng a\Eng happy\Eng soul\Eng but\Eng that\Eng ’\O s\Hin=स my\Hin=मी sister\Eng and\Eng we\Eng aren\Eng ’\O t\Eng twins\Eng !\O 🤷🏻‍♀️\O https\Eng ://\O t\Eng .\O co\Hin=को /\O zaOcQrzpLL\Hin=ज़ाओच्क़्र्ज्प्ल 
35\O ,\O With\Eng all\Eng the\Eng cover\Eng versions\Eng we\Eng are\Eng getting\Eng I\Eng think\Eng this\Eng is\Eng a\Eng brilliant\Eng opportunity\Eng !\O So\Eng grab\Eng the\Eng mic\Eng and\Eng send\Eng your\Eng e\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 8r7dc9LDZd\Eng 
36\O ,"\O RT\Eng @\O sonypicsprodns\Eng :\O With\Eng its\Eng magical\Eng melody\Hin=मेलोडी ,\O #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ is\Hin=इस winning\Eng hearts\Eng of\Eng all\Eng !\O 10\O Million\Eng views\Eng and\Eng counting\Eng 😍\EMT 

https\Eng ://\O t\Eng .\O co\Eng /\O 7MrfXy\Eng …"\O 
37\O ,"\O A\Eng glimpse\Eng from\Eng my\Eng super\Eng fun\Eng vacay\Eng in\Eng Rome\Eng .\O For\Eng more\Eng deets\Eng ,\O stay\Eng tuned\Eng and\Eng follow\Eng @\O mykoovs\Eng as\Eng they\Eng unravel\Eng my\Eng Roman\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O sRVYnvjspa\Hin=श्र्व्य्न्व्ज्स्पा "\O 
38\O ,"\O Between\Eng my\Eng craziness\Eng n\Eng madness\Eng I\Eng learnt\Eng a\Eng little\Eng bit\Eng of\Eng this\Eng wonderful\Eng sport\Eng !\O https\Eng ://\O t\Eng .\O co\Eng /\O CCD08FaaCW\Eng 
Coach\Hin=कोअच् saab\Eng w\Hin=व् …\O https\Eng ://\O t\Eng .\O co\Eng /\O 4QUufua1us\Eng "\O 
39\O ,"\O RT\Eng @\O sonymusicindia\Eng :\O The\Eng world\Eng can't\Eng help\Eng but\Eng fall\Eng in\Eng love\Eng with\Hin=विद #\O IshqDiBaajiyan\Hin=इश्क़्दीबाजियाँ !\O #\O Soorma\Hin=सूर्मा 
Watch\Eng the\Eng song\Eng here\Eng :\O https\Eng ://\O t\Eng .\O co\Hin=को /\O kkbvooH7iw\Hin=क्कब्वूह्7इव् 

@\O Dilj\Eng …"\O 
40\O ,"\O RT\Hin=अर्त @\O diljitdosanjh\Hin=दिलजितडोसाँझ :\O Dekhiye\Hin=देखिये humari\Hin=हमारी #\O Harpreet\Hin=हरप्रीत aka\Hin=अका @\O Taapsee\Hin=टापसी ki\Hin=की mehnat\Hin=मेहनत aur\Hin=अर् lagan\Hin=लगन !\O https\Eng ://\O t\Eng .\O co\Eng /\O aHQZflKxz2\Eng 
@\O sonypicsprodns\Eng @\O Imangadbedi\Eng @\O flicker\Eng …"\O 
41\O ,"\O RT\Eng @\O sonypicsprodns\Eng :\O She\Eng didn't\Eng just\Eng train\Eng ,\O she\Eng conquered\Eng like\Eng a\Eng true\Eng champion\Eng !\O Watch\Eng the\Eng very\Eng energetic\Eng @\O taapsee\Eng go\Eng through\Eng the\Eng drill\Eng ,\O for\Eng …"\O 
42\O ,"\O Tere\Hin=तेरे bin\Hin=बिन ,\O bin\Hin=बिन tere\Hin=तेरे sufiyon\Hin=सूफियों ke\Hin=क dere\Hin=देरे 
Dekh\Hin=देख maine\Hin=मैंने kitne\Hin=कितने lagaye\Hin=लगाये phere\Hin=फहरे addiye\Hin=एड्डिये 
chhod\Hin=छोड़ ke\Hin=क bhi\Hin=भही jana\Hin=जाना ho\Hin=ह to\Hin=तू 
Hari\Hin=हरी bhari\Hin=भारी beri\Hin=बेरी tal\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 4fOySX4rwO\Hin=4फोइस्क्स्4रवो "\O 
43\O ,"\O RT\Eng @\O sonypicsprodns\Eng :\O Let\Eng your\Eng hard\Eng work\Eng define\Eng your\Eng goals\Eng and\Eng your\Eng dreams\Eng mirror\Eng your\Eng passion\Eng .\O 
Make\Eng it\Eng happen\Eng .\O 
#\O Soorma\Eng #\O WednesdayWisdom\Eng #\O Mi\Eng …"\O 
44\O ,\O And\Eng the\Eng day\Eng is\Eng made\Eng !\O #\O Soorma\Eng 13th\Eng July\Eng !\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 9gg6pDcFzB\Eng 
45\O ,\O Je\Hin=जे baat\Hin=बात !!!!!!\O 💪🏼\O https\Eng ://\O t\Eng .\O co\Hin=को /\O QIXUnyE3e2\Hin=क़िग्जुने3ए2 
46\O ,\O It\Hin=इट ’\O s\Eng on\Eng n\Eng kicking\Hin=किकिंग 💪🏼\O #\O Badla\Hin=बदला https\Eng ://\O t\Eng .\O co\Hin=को /\O nNSqTZg7Tj\Hin=नन्स्क़्ट्ज्ग्7त्ज 
47\O ,\O RT\Eng @\O sonymusicindia\Eng :\O Spread\Eng the\Eng love\Eng by\Eng sharing\Eng your\Eng cover\Eng versions\Eng of\Hin=ऑफ #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ using\Hin=उसिंग #\O SurWithSoorma\Hin=सुरविदसूर्मा &\O amp\Hin=अम्प ;\O @\O ShankarEhsanLoy\Hin=शंअकारहसनलौय pick\Hin=पाइक the\Eng bes\Eng …\O 
48\O ,"\O Ishq\Hin=इश्क़ di\Hin=दी .....\O baajiyaan\Hin=बाजियाँ .....\O jeetiyaan\Hin=जीतियाँ ....\O naa\Hin=ना haariyaan\Hin=हारियाँ ❤️\O 
Share\Hin=शारे the\Eng love\Hin=लव !!!!\O #\O Ishqdibaajiyaan\Hin=इश्क़्दीबाजियाँ #\O Soorma\Hin=सूर्मा https\Eng ://\O t\Eng .\O co\Eng /\O o4LGNZYZvQ\Eng "\O 
49\O ,@\O AnushaManiMusic\Hin=अनशमणिम्यूजिक @\O Shankar\Eng _\O Live\Hin=लाइव @\O EhsaanNoorani\Hin=एहसानूरानी @\O loy\Hin=लौय @\O diljitdosanjh\Hin=दिलजितडोसाँझ @\O sonymusicindia\Hin=सोंइम्यूजिइंधिया Naaaaice\Hin=नाआआइस !\O 
50\O ,\O Isn\Eng ’\O t\Eng it\Eng beautiful\Eng !!!???!!!\O What\Eng magic\Eng by\Eng #\O Gulzar\Hin=गुलज़ार saab\Hin=साब @\O ShankarEhsanLoy\Hin=शंअकारहसनलौय and\Hin=एंड @\O diljitdosanjh\Hin=दिलजितडोसाँझ 👏🏼👏🏼👏🏼👏🏼👏🏼🏑…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O QvuhznbaeF\Hin=क़्वुह्ज्नबिफ 
51\O ,"\O RT\Eng @\O sonymusicindia\Eng :\O Trending\Eng soon\Eng after\Eng launch\Eng !\O 
That's\Eng the\Eng power\Eng of\Eng love\Eng !\O 
Lose\Eng yourself\Eng to\Eng the\Eng melodious\Eng tunes\Eng of\Hin=ऑफ #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ Out\Hin=आउट No\Hin=नो …"\O 
52\O ,@\O HARRDYSANDHU\Hin=हार्र्ड्य्संधु @\O diljitdosanjh\Hin=दिलजितडोसाँझ Thankq\Hin=थन्क्क़ 🙏🏼\O 
53\O ,"\O Come\Eng ,\O fall\Eng in\Eng love\Eng with\Hin=विद #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ !\O My\Hin=मी favorite\Eng ,\O penned\Eng by\Eng #\O Gulzar\Hin=गुलज़ार saab\Eng ,\O composed\Eng by\Eng @\O ShankarEshanLoy\Hin=शंअकारेशानलौय and\Hin=एंड sun\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O hfinBDmv6C\Eng "\O 
54\O ,"\O RT\Eng @\O sonypicsprodns\Eng :\O The\Eng countdown\Eng begins\Hin=बेगिंस !\O #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ will\Hin=विल make\Eng your\Eng hearts\Eng sing\Eng !\O Out\Eng in\Eng one\Eng hour\Eng .\O 

@\O diljitdosanjh\Hin=दिलजितडोसाँझ @\O taapsee\Hin=टापसी @\O Imangadbe\Hin=इमंगडबे …"\O 
55,😍😍😍\O https\Eng ://\O t\Eng .\O co\Hin=को /\O RMt2hUWYrM\Hin=र्म्त्2उव्य्र्म 
56\O ,\O Only\Eng a\Eng few\Eng more\Eng hours\Eng to\Eng go\Hin=गो !\O Ishq\Hin=इश्क़ di\Hin=दी baajiyaan\Hin=बाजियाँ penned\Eng by\Eng the\Eng great\Eng #\O Gulzar\Hin=गुलज़ार Saab\Hin=साब and\Eng music\Eng by\Hin=बी @\O ShankarEhsanLoy\Hin=शंअकारहसनलौय …\O https\Eng ://\O t\Eng .\O co\Eng /\O ejy0hiO3QH\Eng 
57\O ,"\O All\Eng set\Eng to\Eng score\Eng a\Eng goal\Eng in\Eng love\Eng !\O 
Come\Eng fall\Eng in\Eng love\Eng with\Eng this\Eng beautiful\Eng track\Eng from\Eng my\Eng next\Eng release\Eng #\O Soorma\Eng https\Eng ://\O t\Eng .\O co\Eng /\O JrcLpcPj36\Eng "\O 
58\O ,"\O Andddddd\Hin=अंद्द्द्द्द .....\O we\Hin=वी are\Eng back\Eng !!!!!!\O 

🧐\O Even\Eng my\Eng own\Eng camera\Eng prefers\Eng to\Eng focus\Eng on\Eng him\Eng !\O #\O Rockstar\Hin=रॉक्स्टार #\O Badla\Hin=बदला #\O SujoyGhosh\Hin=सुजौय्घोश https\Eng ://\O t\Eng .\O co\Eng /\O r2tk0htfjw\Eng "\O 
59\O ,\O RT\Hin=अर्त @\O diljitdosanjh\Hin=दिलजितडोसाँझ :\O Tomorrow\Hin=तोमोर्रो 😍\EMT #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ With\Hin=विद One\Eng &\O amp\Eng ;\O Only\Hin=ओन्ली #\O GulzaarSaab\Hin=गुलज़ारसाब &\O amp\Hin=अम्प ;\O Hamare\Hin=हमारे Baut\Hin=बौत Hee\Hin=ही Pyare\Hin=प्यारे @\O Shankar\Hin=शंकर _\O Live\Hin=लाइव @\O ShankarEhsanLoy\Hin=शंअकारहसनलौय Ji\Hin=जी 😊🙏…\O 
60\O ,\O Get\Eng set\Eng .....\O https\Eng ://\O t\Eng .\O co\Eng /\O CYwdtG86VY\Eng 
61\O ,"\O Challenge\Eng your\Eng limits\Eng .\O Don't\Eng limit\Eng your\Eng challenge\Eng !\O 
Can\Hin=सकें you\Eng break\Eng the\Eng 145\O /\O kmph\Eng drag-flick\Eng speed\Eng record\Eng of\Eng India's\Eng H\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O iy2Nw3ddyD\Eng "\O 
62\O ,\O I\Eng am\Hin=आम waiting\Eng as\Eng impatiently\Eng as\Eng you\Eng all\Hin=अऔल 😁\O #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ #\O Soorma\Hin=सूर्मा https\Eng ://\O t\Eng .\O co\Eng /\O QQEafA585R\Eng 
63\O ,"\O Suniye\Hin=सुनिये mera\Hin=मेर favourite\Hin=फवरिते gaana\Hin=गाना .....\O #\O Gulzar\Hin=गुलज़ार Saab\Hin=साब aur\Hin=अर् @\O ShankarEhsanLoy\Hin=शंअकारहसनलौय ke\Hin=क pyaar\Hin=प्यार bhare\Hin=भरे jazbaat\Hin=जज़्बात ,\O aur\Hin=अर् aapke\Hin=आपके ‘\O on\Hin=ओं screen\Eng ’…\O https\Eng ://\O t\Eng .\O co\Eng /\O eb63RWYLhi\Eng "\O 
64\O ,\O The\Eng moment\Eng when\Eng girls\Eng way\Eng younger\Eng to\Eng you\Eng can\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O oqfcejTRH8\Eng 
65\O ,"\O Eid\Hin=एइअद Mubarak\Hin=मुबारक sabko\Hin=सबको !!!\O 🤗\O bohot\Hin=बोहोत Saara\Hin=सारा pyaar\Hin=प्यार aur\Hin=अर् khushiyaan\Hin=खुशियाँ ❤️\O 
ab\Hin=अब khaane\Hin=खाने pe\Hin=पी toot\Hin=टूट padhoooooo\Hin=पढ़ँउउउऊ !!!\O 🥘"\O 
66\O ,@\O juniorbachchan\Hin=जूनिय्रबचचान @\O anuragkashyap72\Eng But\Eng isn\Eng ’\O t\Eng that\Eng veg\Eng ???\O 
67\O ,\O My\Hin=मी favourite\Eng one\Eng from\Eng the\Eng album\Eng !\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 2YlW8ntrTo\Hin=2आइलव्8Mट्रटो 
68\O ,"\O RT\Hin=अर्त @\O diljitdosanjh\Hin=दिलजितडोसाँझ :\O One\Hin=ओन of\Eng my\Eng toughest\Eng roles\Eng till\Eng date\Eng !\O 
https\Eng ://\O t\Eng .\O co\Hin=को /\O jLWx21rkra\Eng 
@\O flickersingh\Eng paaji\Hin=पाजी ,\O thank\Hin=थान्क you\Eng for\Eng mentoring\Eng me\Eng all\Eng the\Eng way\Eng …"\O 
69\O ,@\O Riteishd\Hin=रीतेइश्ड़ @\O sujoy\Eng _\O g\Hin=ग Please\Hin=प्लीअज् do\Hin=दो 🙏🏼\O aapko\Hin=आपको humaare\Hin=हमारे unit\Hin=ऊनित ki\Hin=की duaaein\Hin=दुआएं lagengi\Hin=लगेंगी 
70\O ,@\O sujoy\Eng _\O g\Hin=ग Today\Eng we\Eng will\Eng try\Eng a\Eng different\Eng expression\Eng haan\Hin=हान !\O 
71\O ,@\O Shibasishsarkar\Hin=शिबसिशसरकर @\O SunirKheterpal\Hin=सुनिरखेतरपल @\O SrBachchan\Hin=शरबचचान @\O iamsrk\Hin=इयाम्स्र्क @\O RedChilliesEnt\Hin=रैडचिलिजेंट @\O sujoy\Eng _\O g\Hin=ग @_\O GauravVerma\Hin=गौरव्वेर्मा @\O PuriAkshai\Hin=पूरिअक्शाई …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O w6sUjRDJIu\Hin=व्6सुजिदजिव 
72\O ,"\O All\Eng set\Eng to\Eng repeat\Eng the\Eng magic\Eng 😉\EMT 
@\O SrBachchan\Hin=शरबचचान 
@\O sujoy\Eng _\O g\Eng @\O RedChilliesEnt\Hin=रैडचिलिजेंट @\O iAmAzure\Eng 
@\O sunirkheterpal\Hin=सुनिरखेतरपल @\O puriakshai\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O 2BuqhcqFi2\Hin=2बुक़्च्क़्फि2 "\O 
73\O ,@\O sujoy\Eng _\O g\Hin=ग @\O SrBachchan\Hin=शरबचचान But\Hin=बुत where\Eng is\Eng the\Eng party\Eng ?\O Why\Eng wasn\Eng ’\O t\Hin=त I\Hin=इ invited\Eng for\Eng it\Eng !??\O I\Eng thought\Eng we\Eng are\Eng a\Eng part\Eng of\Eng the\Eng same\Eng team\Eng ???!!!\O 
74\O ,@\O sujoy\Eng _\O g\Hin=ग Aur\Hin=अर् darr\Hin=डर्र mein\Hin=मेइं Shahrukh\Hin=शाहरुख 😎\EMT 
75\O ,@\O Salilacharya\Hin=सलीलचार्य @\O sujoy\Hin=सुजॉय _\O g\Hin=ग U\Hin=उ should\Eng be\Eng live\Eng present\Eng on\Eng our\Eng sets\Eng to\Eng see\Eng it\Eng n\Eng believe\Eng it\Eng !\O 
76\O ,@\O sujoy\Eng _\O g\Hin=ग Are\Hin=अरे u\Eng scaring\Eng me\Eng !!!!??\O 
