,0\O 
10\O ,"\O RT\Eng @\O KapilMishra\Hin=कपिलमेशरा _\O IND\Hin=इन्द :\O हिन्दू\O शरणार्थियों\O की\O बिजली\O काट\O दो\O 

मंदसौर\O पर\O चुप्पी\O साध\O लो\O 

सर्जिकल\O स्ट्राइक\O पर\O शक\O करो\O 

This\Eng is\Hin=इस Kejriwal\Hin=केजरिवल Model\Eng of\Eng Gov\Eng …"\O 
11\O ,\O RT\Hin=अर्त @\O basak\Hin=बसाक _\O sanam\Hin=सनम :\O @\O KamalRKaan\Hin=कमल्रकान @\O BeingSalmanKhan\Hin=बेंग्सलमंखन Comeon\Hin=कम्य़ोन ranbir\Hin=रणवीर hirithik\Hin=हिरितिक all\Eng these\Eng are\Eng one\Eng film\Eng wonder\Eng how\Eng can\Eng we\Eng forget\Eng movie\Eng like\Hin=लीके besharam\Hin=बेशरम ja\Hin=जा …\O 
12\O ,"\O Everyone\Eng is\Eng comparing\Eng Ranbir\Eng ’\O s\Eng stardom\Eng with\Eng Salman\Eng ’\O s\Eng that\Eng too\Eng with\Eng just\Eng one\Eng film\Eng #\O Sanju\Eng 
Ranbir\Eng acted\Eng too\Eng well\Eng and\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O QjzyDkxdX8\Eng "\O 
13\O ,\O RT\Eng @\O ANI\Hin=अनी :\O Red\Eng Corner\Eng Notice\Eng issued\Eng against\Eng Nirav\Eng Modi\Eng by\Eng Interpol\Eng in\Eng connection\Eng with\Eng #\O PNBScamCase\Eng https\Eng ://\O t\Eng .\O co\Eng /\O pOeE09SCUy\Eng 
14\O ,"\O Jaise\Hin=जैसे ek\Hin=इक film\Hin=फिल्म se\Hin=सी koi\Hin=कोई superstar\Hin=सुपर्स्टर nahi\Hin=नाही ban\Hin=बान jata\Hin=जाता waise\Hin=वैसे ek\Hin=इक flop\Hin=फ्लोप se\Hin=सी kisika\Hin=किसीका career\Hin=करियर khatam\Hin=खताम nahi\Hin=नाही hota\Hin=होता .\O 

So\Hin=सो chill\Eng guys\Eng .\O 

#\O sanju\Hin=संजू #\O Race3\Hin=रसे3 "\O 
15\O ,"\O Our\Eng biggest\Eng fans\Eng this\Eng week\Eng :\O @\O AhrarAli10\Eng ,\O @\O MSahilG2\Eng ,\O @\O rajhanda190\Eng .\O Thank\Eng you\Eng !\O via\Eng https\Eng ://\O t\Eng .\O co\Eng /\O YW3ZTgIYAP\Eng https\Eng ://\O t\Eng .\O co\Eng /\O o8pVNlXhVe\Hin=ओ8प्व्न्ल्क्स्वे "\O 
16\O ,\O RT\Eng @\O AnjaliPai1\Hin=अंजलीपाइ1 :\O @\O KamalRKaan\Hin=कमल्रकान @\O BeingSalmanKhan\Hin=बेंग्सलमंखन Just\Hin=जस्ट coz\Hin=कोज़ of\Eng one\Eng film\Eng we\Eng cant\Eng compare\Eng a\Eng mango\Eng with\Eng a\Eng grape\Eng .\O Please\Hin=प्लीअज् RK\Eng needs\Eng more\Eng hits\Eng to\Eng think\Eng …\O 
17\O ,\O Kejriwal\Hin=केजरिवल is\Eng agreeing\Eng that\Eng one\Eng shdnt\Eng use\Eng foul\Eng language\Eng even\Eng if\Eng we\Eng have\Eng difference\Eng of\Eng opinion\Eng but\Eng He\Hin=ही can\Eng call\Eng PM\Eng cowa\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 8AW3CGIvnV\Eng 
18\O ,"#\O Sanju\Eng created\Eng HISTORY\Eng on\Eng weekend\Eng .\O 

Second\Eng highest\Eng weeekend\Eng after\Eng #\O Bahubali\Eng 

Collected\Eng HUGE\Eng 114\O cr\Eng nett\Eng crossing\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O RO33DUBMR0\Eng "\O 
19\O ,\O Both\Eng .\O Seems\Eng you\Eng forgot\Hin=फोर्गोट #\O TereNaam\Hin=तेरेनाअम् #\O BajrangiBhaijaan\Hin=बाजरांगिभैजान https\Eng ://\O t\Eng .\O co\Hin=को /\O LTNdRDpObP\Hin=ल्त्Mद्र्दपोब्प 
20\O ,"\O Every\Eng chutiya\Eng is\Eng saying\Eng Ranbir\Eng will\Eng put\Eng biggest\Eng competition\Eng to\Eng @\O BeingSalmanKhan\Eng 

It\Hin=इट ’\O s\Eng actually\Eng good\Eng as\Eng Tiger\Eng 🐯\O abh\Hin=अभी …\O https\Eng ://\O t\Eng .\O co\Eng /\O NTQ5RWDIXD\Eng "\O 
21\O ,\O Last\Eng 24\O Hours\Eng =\O 18\O Followers\Eng and\Eng 12\O Unfollowers\Eng (\O stats\Eng by\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZIgtIQhsJR\Hin=ज़िग्टीक़्स्ज्र app\Eng )\O 
22\O ,"\O RT\Eng @\O BeingSalmanKhan\Eng :\O What\Eng a\Eng wonderful\Eng experience\Eng with\Eng the\Eng amazing\Eng jam\Eng packed\Eng San\Eng Jose\Eng audience\Eng .\O 

#\O DabanggExclusive\Eng #\O DabanggTour\Hin=दबंग्गटूअर #\O DabanggR\Hin=दबंग्ग्र …"\O 
23\O ,\O Exactly\Eng same\Eng happened\Eng with\Eng #\O Sanju\Eng where\Eng people\Eng haves\Eng simply\Eng REJECTED\Hin=रेजेक्टेड the\Hin=ते media\Eng .\O https\Eng ://\O t\Eng .\O co\Hin=को /\O Q1YNW3yEXt\Hin=क़्1य्zव्3येक्स्ट 
24,"अगर\O आज\O कल\O के\O बच्चे\O रणबीर\O अगर\O हिरानी\O साहब\O के\O डिरेक्शन\O में\O ब्लाक्बस्टर\O दे\O सकते\O है\O तो\O सोचो\O भाई\O जान\O की\O फ़िल्म\O कितना\O कमाएगी\O .\O 

#\O Sanju\Hin=संजू "\O 
25\O ,"\O I\Eng hope\Eng @\O BeingSalmanKhan\Hin=बेंग्सलमंखन bhai\Hin=भाई jaan\Hin=जान does\Hin=दोअज् ATLEAST\Hin=एट्लीस्ट 1\O Movie\Hin=मूवी with\Eng @\O RajkumarHirani\Hin=राजकुमढ़िरनी 

And\Eng imagine\Eng the\Eng box\Eng office\Eng collections\Eng .\O 

#\O sanju\Hin=संजू "\O 
26,"#संजू\O #\O Sanju\Hin=संजू day\Hin=दय 2\O is\Eng extraordinary\Eng .\O 

Collected\Eng mind\Eng boggling\Eng 38\O cr\Eng nett\Eng .\O 

Two\Eng day\Eng collections\Eng stand\Eng at\Eng 72\O cr\Eng .\O 
T\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 0JK0LPqLAB\Eng "\O 
27\O ,@\O basak\Hin=बसाक _\O sanam\Hin=सनम 🙃🙃\O 
28\O ,"\O RT\Eng @\O SrBachchan\Hin=शरबचचान :\O T\Hin=त 2850\O -\O I\Hin=इ walk\Eng the\Eng street\Eng of\Eng Glasgow\Eng by\Eng myself\Eng ..\O until\Eng a\Eng car\Eng drives\Eng by\Eng and\Eng occupant\Eng yells\Eng out\Eng ..\O ""\O hey\Hin=है Salman\Hin=सलमन Khan\Eng how\Eng yo\Hin=यो …"\O 
29\O ,\O Good\Eng night\Eng guys\Eng .\O Sleep\Eng well\Eng https\Eng ://\O t\Eng .\O co\Eng /\O gk4kd7SWNZ\Eng 
30\O ,\O RT\Eng @\O imayur2402\Eng :\O @\O KamalRKaan\Eng Abbas\Hin=अब्बस mustan\Hin=मुस्तान ki\Hin=की jagah\Hin=जगह remo\Hin=रेमो ko\Hin=को race\Eng 3\O direct\Eng karne\Hin=करने dena\Hin=देना ye\Hin=ये soch\Hin=सोच hi\Hin=ही salman\Hin=सलमन ki\Hin=की film\Eng making\Eng ki\Hin=की soch\Hin=सोच pe\Hin=पी shaque\Hin=शाक़ aata\Hin=आता …\O 
31\O ,"\O Many\Eng people\Eng are\Eng abusing\Eng me\Eng and\Eng those\Eng are\Hin=अरे bhai\Hin=भाई haters\Eng and\Eng Ranbir\Eng fans\Eng ,\O 

Guys\Hin=गुइ ,\O if\Hin=इफ़ you\Eng dont\Eng have\Eng guts\Eng to\Eng speak\Eng truth\Eng t\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O nJUIpZ1Rhk\Hin=Mजूइप्ज़्1ऱ्क "\O 
32\O ,\O U\Hin=उ r\Eng blocked\Eng you\Eng lukhhe\Hin=लुख्हे https\Eng ://\O t\Eng .\O co\Hin=को /\O UAFCnTgBnT\Hin=उआफ्क्न्त्ग्ब्न्त 
33\O ,"\O Remo\Hin=रेमो ne\Hin=ने Bhai\Hin=भाई ki\Hin=की lanka\Hin=लंका laga\Hin=लग di\Hin=दी 😂😂\O 

Bhai\Hin=भाई fans\Hin=फZzस् ,\O Remo\Eng ji\Hin=जी ko\Hin=को bolo\Hin=बोल ,\O Dance\Eng films\Eng hi\Eng direct\Eng karen\Hin=करें ,\O Abbas\Hin=अब्बस Mustan\Hin=मुस्तान ji\Hin=जी ke\Hin=क movie\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O t61BMhRslm\Eng "\O 
34\O ,"\O Many\Eng people\Eng hav\Eng very\Hin=वेरी BAD\Hin=बद PRESUMPTION\Eng dat\Hin=दत Eid\Hin=एइअद is\Eng best\Eng period\Eng to\Eng release\Eng a\Eng film\Eng however\Eng THIS\Eng IS\Hin=इस TOTALLY\Hin=तोताल्ली WRONG\Hin=व्रोंग 

Eid\Hin=एइअद pe\Hin=पी …\O https\Eng ://\O t\Eng .\O co\Eng /\O N85BZ6P9mo\Eng "\O 
35,"😂😂😂😂😂😂\O 

Haalat\Hin=हालत of\Eng Delhi\Eng people\Eng ,\O na\Hin=ना ghar\Hin=घड़ी ka\Hin=का na\Hin=ना ghaat\Hin=घाअत् ka\Hin=का 🤪🤪\O https\Eng ://\O t\Eng .\O co\Eng /\O XVbp8HvOrz\Eng "\O 
36\O ,"\O RT\Eng @\O birajanath\Hin=बिरजनाथ :\O RT\Eng ..\O if\Eng you\Eng are\Eng with\Eng Divya\Eng ..\O No\Hin=नो bollytards\Eng ,\O sickukars\Eng and\Eng presstitutes\Eng talk\Eng for\Eng Divya\Eng because\Eng she\Eng is\Eng Hindu\Eng ..\O https\Eng ://\O t\Eng .\O co\Hin=को /\O F\Hin=फ़ …"\O 
37\O ,"\O With\Eng just\Eng one\Eng movie\Eng #\O Sanju\Eng lots\Eng of\Eng chutiyas\Eng are\Eng comparing\Eng Ranbir\Eng with\Eng Salman\Eng ,\O 
They\Eng shd\Eng understand\Eng ,\O no\Eng one\Eng becomes\Eng s\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O S4oC2o2rcz\Eng "\O 
38\O ,\O Bhai\Hin=भाई main\Hin=मां Modiji\Hin=मोडीजी se\Hin=सी sifarish\Hin=सिफारिश karunga\Hin=करुँगा ki\Hin=की tuze\Hin=तुझे भारत\O रत्न\O mile\Eng 🙏🙏🙏🤪🤪😂\O https\Eng ://\O t\Eng .\O co\Eng /\O SM65qTkkET\Eng 
39\O ,"\O RT\Eng @\O bhupen\Hin=भुपेन _\O sarma\Hin=सरमा :\O This\Eng is\Eng hilarious\Eng 🤣🤣🤣🤣\O 

राहुल\O गांधी,\O दुकानदार\O से\O :\O 
प्रिंटर\O का\O पेपर\O देना.....\O 

दुकानदार:\O A4\Eng ....?\O 
राहुल\O :\O A\Eng for\Eng Apple\Eng ....…"\O 
40\O ,"\O RT\Hin=अर्त @\O aliabbaszafar\Hin=अलाय्याब्बस्ज़फर :\O What\Hin=वाअत a\Eng lovely\Hin=लवय picture\Hin=पिक्चर ,\O all\Eng time\Eng favourites\Eng #\O karanarjun\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O 3fBWOhIbfV\Hin=3फ्ब्वहिब्फ्व "\O 
41\O ,\O Bass\Hin=बस Akki\Hin=अक्की ko\Hin=को bolo\Hin=बोल Modiji\Hin=मोडीजी ko\Hin=को promote\Eng kare\Hin=करे .\O National\Eng award\Eng to\Eng milke\Hin=मिले rahega\Hin=रहेगा 😂😂\O #\O Toilet2\Hin=टॉयलेत्2 
42,"23\O Followed\Eng ,\O 8\O Unfollowed\Eng me\Eng (\O monitored\Eng by\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZIgtIQhsJR\Hin=ज़िग्टीक़्स्ज्र )"\O 
43\O ,"\O RT\Hin=अर्त @\O abhijitmajumder\Eng :\O Hope\Eng celebs\Eng have\Eng held\Eng up\Eng placards\Eng over\Eng the\Eng gang\Eng rape\Eng and\Eng torture\Eng of\Eng the\Eng child\Eng in\Eng #\O Mandsaur\Eng ,\O just\Eng as\Eng they\Eng did\Eng when\Eng the\Eng …"\O 
44\O ,"\O Too\Hin=तोओ much\Eng inflated\Eng collections\Eng for\Eng #\O Sanju\Eng 

Film\Eng has\Eng collected\Eng approx\Eng 30\O cr\Eng not\Hin=नोट 35\O cr\Eng ."\O 
45\O ,"\O Happy\Eng weekend\Eng guys\Eng .\O DONT\Hin=डोंट BOOZE\Hin=बुजे ,\O Enjoy\Hin=एंजॉय NATURE\Hin=नेचर 🙏🙏🙏\O 

Have\Eng a\Eng nice\Eng day\Eng https\Eng ://\O t\Eng .\O co\Eng /\O mIttWqfT3c\Hin=मिट्तव्क़्फ्त्3क "\O 
46\O ,\O Is\Hin=इस #\O Sanju\Hin=संजू really\Eng a\Eng BIOPIC\Eng ?\O 
47\O ,#\O Sanju\Eng is\Eng an\Eng extremely\Eng engaging\Eng film\Eng at\Eng the\Eng level\Eng of\Eng Screenplay\Eng .\O Wish\Eng it\Eng wasn't\Eng labelled\Eng as\Eng a\Eng biopic\Eng .\O The\Eng battle\Eng betw\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O ImsqcPHwRU\Hin=इम्स्क़्च्फुरू 
48\O ,#\O Sanju\Hin=संजू CANT\Hin=कैंट BE\Hin=बे CALLED\Hin=कैलेड AS\Hin=आस BIOPIC\Eng as\Eng director\Eng took\Eng many\Eng cinematic\Eng liberties\Eng to\Eng make\Eng this\Eng film\Eng .\O 
49\O ,"#\O Sanju\Eng had\Eng phenomenal\Eng first\Eng day\Eng as\Eng it\Eng collected\Eng 30\O cr\Eng nett\Eng which\Eng is\Eng highest\Eng of\Eng 2018.\O 👌🏻👌🏻👌🏻\O 

But\Eng please\Eng note\Eng ,\O avera\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O Nlg0nFrWah\Hin=न्ल्ग्0न्फ्रवाह "\O 
50\O ,"\O Ranbir\Eng fans\Eng saying\Eng #\O sanju\Eng is\Eng awesome\Eng but\Eng normal\Eng and\Eng neutral\Eng people\Eng saying\Eng ,\O we\Eng did\Eng not\Eng see\Eng what\Eng se\Eng wanted\Eng ,\O we\Eng didnt\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O fTZiEz6z6y\Eng "\O 
51\O ,"#\O Sanju\Eng Collection\Eng update\Eng :\O 

Multiplex\Eng :\O Performing\Eng very\Eng well\Eng 
Single\Eng screens\Eng :\O Performing\Eng ok\Eng ok\Eng but\Eng will\Eng go\Eng down\Eng fro\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O QRZHLy06Pb\Eng "\O 
52\O ,"\O Beta\Hin=बेटा ,\O jyada\Hin=ज्यादा mat\Hin=मत bol\Hin=बोल .\O Aur\Hin=अर् aukaat\Hin=आऔकात me\Hin=मे reh\Hin=रह https\Eng ://\O t\Eng .\O co\Hin=को /\O ChqyYNLoRz\Hin=च्क़्य्य्नलोर्ज़ "\O 
53\O ,\O Did\Hin=दीद you\Eng like\Eng #\O Sanju\Hin=संजू ?\O #\O SanjuReview\Hin=संजुरिव्यू 
54\O ,@\O basak\Hin=बसाक _\O sanam\Hin=सनम Sahi\Hin=सही kaha\Hin=कहा sanam\Hin=सनम .\O She\Eng is\Eng chutiya\Eng 😂😂\O 
55\O ,"\O There\Eng is\Eng a\Hin=आ STRONG\Hin=सत्रौंग BUZZ\Hin=बुज्ज़ that\Eng @\O BeingSalmanKhan\Eng will\Eng ACCEPT\Eng #\O Dhoom4\Eng 

And\Eng if\Eng this\Eng happens\Eng then\Eng ALL\Eng RECORDS\Eng will\Eng be\Eng sma\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O KfOTHNK7L5\Eng "\O 
56\O ,@\O basak\Hin=बसाक _\O sanam\Hin=सनम Kat\Hin=काट is\Eng badluck\Hin=बद्लूक ?\O 
57,"21\O Followed\Eng ,\O 6\O Unfollowed\Eng me\Eng (\O monitored\Eng by\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZIgtIQhsJR\Hin=ज़िग्टीक़्स्ज्र )"\O 
58\O ,"\O RT\Eng @\O ippatel\Hin=इप्पटेल :\O Md\Hin=म्द .\O Imran\Eng raped\Eng 7\O yr\Eng old\Eng Hindu\Eng girl\Eng in\Eng Mandsaur\Eng &\O amp\Eng ;\O tired\Eng to\Eng kill\Eng her\Eng ,\O she\Eng is\Eng struggling\Eng in\Eng Indore\Eng Hospital\Eng .\O People\Eng come\Eng out\Eng dem\Eng …"\O 
59\O ,"\O RT\Eng @\O KapilMishra\Hin=कपिलमेशरा _\O IND\Hin=इन्द :\O मंदसौर\O में\O 7\O साल\O की\O बच्ची\O के\O साथ\O मो.\O इमरान\O ने\O बलात्कार\O किया\O और\O हत्या\O की\O कोशिश\O की\O 

विरोध\O में\O लाखों\O लोग\O सड़क\O पर\O उतरे\O हुए…"\O 
60\O ,"\O If\Eng people\Eng want\Eng to\Eng watch\Eng everything\Eng related\Eng to\Eng Bombay\Hin=बम्बई bomb\Eng blasts\Eng and\Eng alleged\Eng involvement\Eng of\Eng Sanjay\Hin=संजय dutt\Hin=दत्त in\Eng it\Eng ,\O then\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O JZT220Fvbw\Eng "\O 
61\O ,"\O Second\Eng half\Eng -\O nice\Eng but\Eng the\Eng way\Eng Sanjay\Eng had\Eng to\Eng tell\Eng .\O 

Performance\Eng is\Eng just\Eng mind\Eng blowing\Eng and\Eng Ranbir\Eng sure\Hin=सुर्य to\Eng earn\Eng all\Eng a\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 5Qgja2ge2u\Eng "\O 
62\O ,@\O basak\Hin=बसाक _\O sanam\Hin=सनम Thanks\Hin=थान्क sanam\Hin=सनम 🙏\O 
63\O ,"#\O SanjuReview\Hin=संजुरिव्यू 
ZAKASS\Hin=ज़ाकिस first\Eng half\Eng 👋👋👋👌🏻👌🏻👌🏻"\O 
64\O ,\O RT\Eng @\O ANI\Hin=अनी :\O Maharashtra\Hin=महाराष्ट्र :\O Uddhav\Hin=उद्धव Gadekar\Hin=गडेकर from\Eng Buldhana\Eng offers\Eng hair\Eng cutting\Eng &\O amp\Eng ;\O shaving\Eng service\Eng using\Eng silver\Eng razor\Eng to\Eng serving\Eng &\O amp\Eng ;\O ex-servicemen\Eng for\Eng …\O 
65\O ,"\O Good\Hin=गूद morning\Hin=मोरनिंग #\O Sanju\Eng fans\Eng .\O 🙂🙂🙂\O 

Happy\Eng Friday\Eng https\Eng ://\O t\Eng .\O co\Eng /\O 5UGq5M5o7w\Eng "\O 
66\O ,\O RT\Eng @\O SarcasticNetaa\Eng :\O @\O KapilMishra\Hin=कपिलमेशरा _\O IND\Hin=इन्द @\O KamalRKaan\Hin=कमल्रकान @\O ArvindKejriwal\Hin=अरविंड़केजरिवल @\O SatyendarJain\Hin=सत्येणदरजैन Mumbai\Eng after\Eng 10\O minutes\Eng of\Eng Rain\Eng This\Eng Morning\Eng .\O @\O Dev\Eng _\O Fadnavis\Eng …\O 
67\O ,\O Average\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O lbARji1Pod\Hin=लबरजि1पोद 
68\O ,"\O RT\Eng @\O KapilMishra\Hin=कपिलमेशरा _\O IND\Hin=इन्द :\O Delhi\Eng after\Eng 10\O minutes\Eng of\Eng Rain\Eng this\Eng morning\Eng 

All\Eng Thanks\Eng to\Eng @\O ArvindKejriwal\Hin=अरविंड़केजरिवल 
&\O amp\Eng ;\O @\O SatyendarJain\Hin=सत्येणदरजैन 

बनाना\O था\O लंदन\O 
बना\O दिया…"\O 
69\O ,\O Gained\Eng 17\O followers\Eng and\Eng lost\Eng 4\O (\O stats\Eng by\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZIgtIQhsJR\Hin=ज़िग्टीक़्स्ज्र )\O 
70\O ,"\O RT\Eng @\O DrKumarVishwas\Eng :\O 3\O में\O से\O जिस\O 1\O मुद्दे\O पर\O देश\O की\O सेना\O के\O पक्ष\O में\O होने\O पर\O मुझे\O “तथाकथित\O राजनैतिक\O नुक़सान”\O पहुचायाँ\O गया\O था,आज\O उसी\O शौर्यगा…"\O 
71\O ,"\O RT\Eng @\O DrKumarVishwas\Eng :\O आतंक\O से\O लड\O रही\O सेना\O के\O ख़िलाफ़\O राजनीति\O नहीं\O करने\O दूँगा\O यह\O सुनकर,आत्मा\O का\O सौदा\O कर\O लेने\O वाले\O 11\O नवपतित\O गिद्धों\O को\O जमा\O कर…"\O 
72\O ,\O Heightof\Eng over\Eng acting\Eng again\Hin=अगान .\O #\O SatyamevaJayate\Hin=सत्यमेवजायते 
73\O ,"\O RT\Eng @\O KapilMishra\Hin=कपिलमेशरा _\O IND\Eng :\O जब\O से\O कल\O #\O SurgicalStrikeVideo\Eng मीडिया\O में\O रिलीज\O हुए\O 

बैंगलोर\O में\O सोफ़े\O पे\O पड़े\O हुए\O केजरीवाल\O को\O लगातार\O दौरे\O पड़\O रहे\O हैं"\O 
74\O ,"\O RT\Eng @\O KapilMishra\Hin=कपिलमेशरा _\O IND\Hin=इन्द :\O On\Eng #\O SurgicalStrikeVideo\Eng -\O 

#\O SurgicalStrikes\Eng के\O तुरंत\O बाद\O केजरीवाल\O सन्नाटे\O में\O थे\O 

फ़िर\O देश\O के\O बाहर\O से\O आदेश\O मिला\O 

पहले…"\O 
75\O ,"#\O Race3\Eng MY\Eng TAKE\Hin=टके :\O 
Victim\Eng of\Eng biased\Eng media\Eng !\O 

As\Eng per\Eng media\Eng ,\O Race3\Eng shd\Hin=श्ड़ hav\Hin=हव completely\Eng crashed\Eng after\Eng first\Eng monday\Eng but\Eng it\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 4TDA2ulVzD\Eng "\O 
76\O ,\O RT\Eng @\O madhukishwar\Hin=मधुकिश्वर :\O Dear\Eng @\O PMOIndia\Eng Govt\Eng would\Eng be\Eng failing\Eng India\Eng if\Eng it\Eng doesn't\Eng lodge\Eng criminal\Eng defamation\Eng case\Eng against\Eng Reuters\Eng for\Eng by\Eng publishing\Eng …\O 
77\O ,"\O Good\Eng night\Eng guys\Eng .\O 
Sleep\Eng tight\Eng .\O 🙏🙏🙏🙏🙏"\O 
78\O ,"@\O basak\Hin=बसाक _\O sanam\Hin=सनम This\Hin=तीस is\Eng very\Eng sensitive\Eng matter\Eng .\O I\Eng was\Eng thinking\Eng the\Eng same\Eng like\Eng you\Eng when\Eng matters\Eng like\Eng Akhlaq\Eng came\Eng ,\O beef\Eng ba\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O bXVifSFPcO\Eng "\O 
79\O ,"@\O basak\Hin=बसाक _\O sanam\Hin=सनम 100\O saal\Hin=साल jiyoge\Hin=जियोगे aap\Hin=आअप् .\O Abhi\Hin=अभी soch\Hin=सोच raha\Hin=रह tha\Hin=ता no\Eng tweets\Eng from\Eng Sanam\Hin=सनम जी\O 😊\EMT 

Btw\Eng ,\O regarding\Eng flag\Eng ,\O yes\Hin=येस you\Hin=यूं r\Hin=र abso\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O JOTiDli6qv\Hin=जोतिडलि6क़्व "\O 
80\O ,"\O Hey\Hin=है shilpians\Eng ,\O any\Eng news\Eng about\Eng queen\Eng #\O ShilpaShinde\Hin=शिल्पषिंदे ?"\O 
81\O ,@\O rajesh\Hin=राजेश _\O baisoya\Hin=बिसोया Konsa\Hin=कोन्सा prob\Hin=प्रोब bhai\Hin=भाई jaan\Hin=जान 
