,0\O 
26\O ,"\O The\Eng 5\O Greatest\Eng actors\Eng of\Eng All\Eng Time\Eng of\Eng the\Eng Indian\Eng Film\Eng Industry\Eng :\O 

1)\O Dilip\Hin=दिलीप Kumar\Hin=कुमार 
2)\O SRK\Eng 
3)\O Nana\Hin=नाना Patekar\Hin=पतेकर 
4)\O Irrfan\Eng Khan\Eng 
5)\O Ranbir\Eng 

#\O Sanju\Hin=संजू "\O 
27\O ,"\O Show\Hin=शो time\Eng 😍\EMT 
#\O Sanju\Eng https\Eng ://\O t\Eng .\O co\Eng /\O mXuwTwvyb9\Eng "\O 
28\O ,"\O RT\Hin=अर्त @\O HarshKapoor\Hin=हरश्कपूर _:\O From\Eng Sanjay\Eng Leela\Hin=लीला Bhansali\Hin=भंसली to\Hin=तू Raju\Hin=राजू Hirani\Hin=हिरनी ,\O it's\Hin=इत्'अ so\Eng good\Eng to\Eng see\Eng you\Eng back\Eng on\Eng screen\Eng together\Eng after\Eng 11\O years\Eng !\O 

Good\Hin=गूद luck\Hin=लूक @\O so\Eng …"\O 
29\O ,\O RT\Eng @\O pinkvilla\Eng :\O #\O Sanju\Eng Movie\Eng Review\Eng -\O #\O RanbirKapoor\Eng takes\Eng himself\Eng a\Eng notch\Eng above\Eng brilliant\Eng in\Eng this\Eng glorification\Eng of\Eng #\O Dutt\Eng saga\Eng -\O https\Eng ://\O t\Eng .\O co\Hin=को /…\O 
30\O ,\O RT\Eng @\O abhijeetsharm22\Eng :\O Best\Eng performance\Eng of\Eng Ranbir\Eng Kapoor\Eng till\Eng date\Eng #\O Sanju\Eng .\O Sir\Eng you\Eng are\Eng not\Eng just\Eng great\Eng but\Eng among\Eng the\Eng greatest\Eng @\O RajkumarHirani\Hin=राजकुमढ़िरनी …\O 
31\O ,\O RT\Hin=अर्त @\O aavishhkar\Hin=आविषकर :\O There\Hin=थहरे are\Eng lots\Eng of\Eng scenes\Eng so\Eng far\Eng (\O Till\Eng Interval\Eng )\O that\Eng make\Eng you\Eng smile\Eng and\Eng cry\Eng at\Eng the\Eng same\Eng time\Hin=टाइम !!\O #\O SANJU\Hin=संजू has\Hin=हास Raj\Hin=राज Kumar\Hin=कुमार Hirani\Hin=हिरनी …\O 
32\O ,"\O RT\Eng @\O sonamakapoor\Hin=सोनमकपूर :\O The\Eng big\Eng day\Eng is\Eng finally\Eng here\Eng !\O #\O Sanju\Eng is\Eng in\Eng cinemas\Eng now\Eng ,\O guys\Eng !\O :\O D\Hin=द Do\Hin=दो watch\Eng it\Eng !\O 
Book\Eng Tickets\Eng :\O 
BookMyShow\Eng -\O https\Eng ://\O t\Eng .\O co\Hin=को /\O TwQ\Hin=तव्क़ …"\O 
33\O ,"\O RT\Eng @\O drejazwaris\Eng :\O Best\Eng film\Eng of\Eng the\Eng year\Eng arrives\Eng with\Eng a\Hin=आ BIG\Hin=बिग BANG\Hin=बंग !!!\O All\Hin=अऔल awards\Eng this\Eng year\Eng for\Eng #\O Sanju\Hin=संजू @\O RajkumarHirani\Hin=राजकुमढ़िरनी @\O AnushkaSharma\Hin=अनष्काशर्मा 
#\O RanbirK\Hin=रणविर्क …"\O 
34\O ,"#\O Race3\Eng VS\Eng #\O Sanju\Eng 
#\O OpeningCollection\Eng #\O BoxOffice\Eng #\O Bollywood\Eng #\O RanbirKapoor\Eng #\O SalmanKhan\Hin=सलमंखन "\O 
35\O ,"\O RT\Eng @\O taran\Hin=तरन _\O adarsh\Hin=आदर्श :\O Ranbir\Eng Kapoor\Hin=कपूर ...\O One\Eng actor\Eng ...\O Multiple\Eng lives\Eng ...\O Numerous\Eng awards\Eng ...\O Ranbir\Eng ’\O s\Eng act\Eng in\Eng #\O Sanju\Hin=संजू will\Eng win\Eng him\Eng accolades\Eng ,\O admirat\Eng …"\O 
36\O ,#\O Sanju\Hin=संजू main\Hin=मां acting\Eng story\Eng sab\Hin=सब chhodo\Hin=छोड़ो ..\O I\Eng am\Hin=आम in\Eng love\Eng with\Eng word\Eng GHAPAGHAP\Eng (\O kindly\Eng ignore\Eng d\Eng meaning\Eng )\O 😂😂😂\O @\O vickykaushal09\Eng 
37\O ,"\O Superb\Eng must\Eng watch\Eng movie\Eng ...\O 
I\Eng was\Eng in\Eng search\Eng of\Eng Ranveer\Eng in\Eng movie\Eng but\Eng not\Eng able\Eng to\Eng find\Eng ,\O perfection\Eng of\Eng role\Eng at\Eng its\Eng best\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O KbZGuyz8ek\Hin=क्ब्ज्गुय्ज़्8एक "\O 
38\O ,"\O RT\Eng @\O ARuNCHo27306860\Eng :\O Who\Eng is\Eng the\Eng best\Eng actor\Eng in\Eng young\Eng generation\Eng 

Retweet\Eng 🔁\O :\O #\O RanbirKapoor\Eng 

Like\Hin=लीके 💖\O :\O #\O RanveerSingh\Hin=रण्वीअरसिंह 

#\O Sanju\Hin=संजू #\O SanjayDutt\Hin=संजय्दत्त #\O S\Hin=स …"\O 
39\O ,"\O RT\Eng @\O Bollyhungama\Eng :\O This\Hin=तीस @\O duttsanjay\Eng fan\Eng went\Eng all\Eng out\Eng for\Eng this\Eng film\Eng ,\O check\Eng out\Eng his\Eng review\Eng !!!\O 
#\O PublicReview\Eng of\Eng #\O Sanju\Eng 

#\O SanjuReview\Eng @\O Rajkuma\Eng …"\O 
40\O ,\O RT\Hin=अर्त @\O Oyevivekk\Hin=ओयेविवेक्क :\O #\O Sanju\Hin=संजू :\O propaganda\Eng biopic\Eng to\Eng whitewash\Eng a\Eng terrorist's\Eng sins\Eng .\O 
41\O ,"\O RT\Eng @\O mainniteish\Hin=मेन्नाइटेइश :\O #\O Sanju\Hin=संजू This\Hin=तीस is\Eng a\Hin=आ MASTERPIECE\Hin=मस्टर्पिएस and\Eng will\Eng be\Eng a\Eng monstrous\Eng hit\Eng all\Eng over\Eng .\O Must\Eng watch\Eng ,\O don't\Eng miss\Eng ."\O 
42\O ,#\O sanju\Eng #\O UniversalCinema\Eng 👌👌\O https\Eng ://\O t\Eng .\O co\Hin=को /\O Zgfw9TUeyj\Hin=ज्ग्फ्व्9तुएय्ज 
43\O ,"\O RT\Eng @\O rohitjswl01\Eng :\O The\Eng Word\Eng ""\O Sex\Eng ""\O gets\Eng a\Eng new\Eng name\Hin=नाम ""\O GhapaGhap\Hin=घपगप ""\O 

thanks\Eng to\Eng Abhijat\Hin=अभिजट Joshi\Eng &\O amp\Hin=अम्प ;\O @\O RajkumarHirani\Hin=राजकुमढ़िरनी ....\O 

#\O Sanju\Hin=संजू "\O 
44\O ,"\O RT\Hin=अर्त @\O ChannaMereya\Hin=चन्नामेरेय _:\O #\O Sanju\Hin=संजू is\Eng amazing\Eng .\O the\Eng father\Eng son\Eng relationship\Eng is\Eng so\Eng emotional\Eng &\O amp\Eng ;\O beautiful\Eng ,\O and\Eng for\Eng me\Eng even\Eng friendship\Eng is\Eng portrayed\Eng in\Eng a\Eng …"\O 
45\O ,@\O LegendKhan5\Hin=लेगेंड़खां5 @\O SumitkadeI\Hin=सुमितकदे @\O nikhs\Hin=निक्खों _\O tricks\Eng Tumne\Hin=तुमने itna\Hin=इत्ना point\Hin=प्वाइंट diya\Hin=दिया ..\O aise\Hin=आइसे ha\Hin=ह to\Hin=तू bollywood\Hin=बोलीवुड ki\Hin=की sab\Hin=सब greatest\Eng actors\Eng kisi\Hin=किसी pe\Hin=पी …\O https\Eng ://\O t\Eng .\O co\Eng /\O fjXFSvjrXl\Eng 
46\O ,"\O RT\Eng @\O SujNLFC\Eng :\O Rajkumar\Hin=राजकुमार Hirani\Hin=हिरनी can\Eng make\Eng a\Eng blockbuster\Eng even\Eng with\Eng woods\Eng .\O What\Eng a\Eng director\Eng .\O What\Eng a\Eng master\Eng piece\Eng #\O Sanju\Eng is\Eng .\O Ranbir\Hin=रणवीर ,\O Paresh\Hin=परेश Rawal\Hin=रावल n\Eng …"\O 
47\O ,\O RT\Eng @\O ashwinmushran\Eng :\O Watched\Eng #\O Sanju\Eng last\Eng night\Eng and\Eng if\Eng you're\Eng asking\Eng -\O Yes\Hin=येस ...\O #\O RanbirKapoor\Hin=रणविर्कपूर has\Eng knocked\Eng it\Eng out\Eng of\Eng the\Eng park\Eng .\O He's\Eng outstanding\Eng 
48,"स्याही\O सुख\O नही\O पाती\O है\O अखबार\O की।\O 
एक\O और\O खबर\O आ\O जाती\O हैं,\O बलात्कार\O की।।\O 
#\O Modi2019SuperBoost\Eng #\O DelhiMetro\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O lCFZd4E4sh\Eng "\O 
49\O ,"\O RT\Eng @\O HatindersinghR\Hin=हातिन्दरसिंर :\O Rape\Eng Of\Eng A\Hin=आ Kid\Hin=कीड़ In\Hin=इन #\O Mandsaur\Eng !!\O 

Hear\Hin=हियर् This\Hin=तीस ,\O You\Eng Can\Eng Differ\Eng With\Eng Me\Hin=मे .\O 

#\O justiceforDivya\Eng 
#\O rape\Eng 
#\O JusticeForSanskriti\Eng 
#\O sanju\Hin=संजू …"\O 
50\O ,"\O RT\Hin=अर्त @\O VijaydhananiD\Hin=विजय्धानिड् :\O Who\Hin=वो is\Eng Most\Eng Loved\Eng Actress\Eng of\Eng Bollywood\Eng 

RT\Eng 🔁#\O JenniferWinget\Eng 
Like\Hin=लीके #\O SurbhiChandna\Hin=सुर्भिछाँद़ना 

#\O JenniferWinget\Eng #\O SurbhiChandna\Eng 
#\O Shiv\Hin=शिव …"\O 
51\O ,\O Stop\Eng reading\Eng newspapers\Eng is\Eng the\Eng moral\Eng of\Eng the\Eng movie\Eng !\O #\O Sanju\Hin=संजू 
52\O ,\O RT\Eng @\O SumitkadeI\Hin=सुमितकदे :\O Ranbir\Hin=रणवीर Kapoor\Eng acting\Eng in\Eng #\O Sanju\Eng cant\Eng be\Eng justified\Eng in\Eng words\Eng .\O It\Eng is\Eng like\Eng you\Eng are\Eng watching\Eng an\Eng actor\Eng performing\Eng in\Eng 5-6\O different\Eng …\O 
53\O ,"\O RT\Eng @\O rohitjswl01\Eng :\O I\Eng think\Eng only\Eng #\O Zero\Eng can\Eng break\Eng #\O Sanju\Hin=संजू Non\Hin=नान Holiday\Eng Day1\Eng record\Eng for\Eng 2018...\O 

For\Eng those\Eng Saying\Hin=सआइंग abt\Hin=अब्त #\O ThugsOfHindostan\Hin=ठुग्सौफिन्दोस्तान its\Eng a\Eng Diwa\Eng …"\O 
54\O ,"\O RT\Hin=अर्त @\O chupbesaale\Hin=छुपभेसाले :\O Dear\Hin=डियर Srgians\Eng ,\O before\Eng laughing\Eng over\Eng #\O Sanju\Eng challenging\Eng #\O Race3\Eng collection\Eng .\O JUST\Hin=जस्ट remember\Eng somewhere\Eng its\Eng challenging\Eng SRK's\Eng all\Eng …"\O 
55\O ,"\O RT\Hin=अर्त @\O ivivek\Hin=आइविवेक _\O nambiar\Eng :\O Watched\Eng #\O Sanju\Eng .\O Here're\Eng a\Eng few\Eng points\Eng -\O 
1)\O Sanjay\Hin=संजय Dutt\Hin=दत्त is\Eng not\Eng a\Eng terrorist\Eng .\O 
2)\O He\Eng did\Eng drugs\Eng cuz\Eng bro\Hin=बरो pressure\Eng .\O 
3)\O He\Eng kept\Eng …"\O 
56\O ,\O Can't\Eng explain\Eng ...\O Only\Eng 2\O words\Hin=वअर्ड ...\O plz\Hin=प्ल्ज़ watch\Hin=वाच #\O Sanju\Hin=संजू ...\O u\Hin=उ r\Hin=र a\Eng real\Eng hero\Eng ...@\O duttsanjay\Hin=दत्ट्संजय ....\O love\Hin=लव you\Eng lots\Eng ...&\O amp\Eng ;\O kudos\Eng @\O RanbirKapoor\Hin=रणविर्कपूर 
57\O ,"#\O TGIF\Eng :\O #\O Sanju\Eng Inspired\Eng ,\O Best\Eng Gym\Eng Looks\Eng https\Eng ://\O t\Eng .\O co\Eng /\O eqJboPs3SM\Eng https\Eng ://\O t\Eng .\O co\Eng /\O yXMjqAd7PG\Eng "\O 
58\O ,\O RT\Eng @\O BeingTazwar\Eng :\O @\O LegendKhan5\Eng @\O SumitkadeI\Hin=सुमितकदे @\O nikhs\Hin=निक्खों _\O tricks\Eng Tumne\Hin=तुमने itna\Hin=इत्ना point\Hin=प्वाइंट diya\Hin=दिया ..\O aise\Hin=आइसे ha\Hin=ह to\Hin=तू bollywood\Hin=बोलीवुड ki\Hin=की sab\Hin=सब greatest\Eng actors\Eng kisi\Hin=किसी pe\Hin=पी na\Hin=ना kis\Hin=किस …\O 
59\O ,\O RT\Hin=अर्त @\O AmitHPanchal\Hin=अमिठ्पंचल :\O #\O SanjuReview\Hin=संजुरिव्यू :\O #\O SalmanKhan\Hin=सलमंखन Fans\Hin=फZzस् Feeling\Eng Sad\Eng After\Eng Reading\Eng Postive\Eng Reviews\Eng of\Eng #\O Sanju\Eng !\O 
60\O ,\O RT\Eng @\O ndtv\Eng :\O WATCH\Hin=वाच |\O First\Eng impressions\Eng of\Eng Ranbir\Eng Kapoor's\Eng #\O Sanju\Eng https\Eng ://\O t\Eng .\O co\Eng /\O oH9GAENxrh\Eng 
61\O ,"\O RT\Eng @\O iammtk777\Eng :\O #\O Sanju\Eng in\Eng just\Eng two\Eng line\Eng :\O 
the\Eng best\Eng one\Eng in\Eng history\Eng of\Eng Bollywood\Eng &\O amp\Eng ;\O a\Eng reality\Eng of\Eng the\Eng fucking\Eng paid\Eng media\Eng .\O hats\Eng off\Eng #\O VickyKausha\Eng …"\O 
62\O ,\O RT\Eng @\O RanbirKapoorFC\Hin=रणविर्कपूर्फ्क :\O #\O SANJU\Hin=संजू is\Hin=इस finally\Eng here\Eng !\O Hope\Eng you\Eng all\Eng like\Eng it\Eng .\O Please\Eng don't\Eng post\Eng any\Eng spoilers\Eng .\O Let\Eng everyone\Eng experience\Eng the\Eng film\Eng themselv\Eng …\O 
63\O ,\O RT\Hin=अर्त @\O alishh2\Hin=एलिष्2 :\O So\Hin=सो happy\Eng to\Eng see\Eng all\Eng the\Eng praise\Eng for\Eng Anushka\Eng in\Eng #\O Sanju\Hin=संजू 😅\EMT I\Hin=इ wasn\Hin=वस्न ’\O t\Eng expecting\Eng it\Eng !\O Can\Eng ’\O t\Hin=त wait\Eng to\Eng watch\Eng it\Eng myself\Eng .\O 
64\O ,\O RT\Hin=अर्त @\O karanjohar\Hin=करंजोहर :\O Overall\Eng congratulations\Eng to\Eng the\Eng team\Eng of\Eng this\Eng BLOCKBUSTER\Eng !!!\O VINOD\Hin=विनोद CHOPRA\Hin=छोपड़ा and\Eng @\O foxstarhindi\Eng for\Eng the\Eng box\Eng office\Eng juggernaut\Eng ca\Eng …\O 
65\O ,"\O RT\Hin=अर्त @\O meghnagulzar\Hin=मेघनगुलज़ार :\O #\O Sanju\Hin=संजू is\Eng a\Eng complex\Eng life\Eng narrated\Eng deftly\Eng ,\O in\Eng inimitable\Eng @\O RajkumarHirani\Hin=राजकुमढ़िरनी style\Hin=स्टाइल ..\O #\O RanbirKapoor\Hin=रणविर्कपूर is\Eng talent\Eng unimaginable\Eng and\Eng …"\O 
66\O ,@\O RajkumarHirani\Hin=राजकुमढ़िरनी @\O foxstarhindi\Eng @\O VVCFilms\Eng Awesome\Eng direction\Eng #\O sanju\Hin=संजू #\O SanjuReview\Hin=संजुरिव्यू #\O SanjuLeaked\Hin=संजूलीकेड़ #\O RanbirKapoor\Hin=रणविर्कपूर mind\Hin=मिंद blowi\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O fck8Ps1zTz\Eng 
67\O ,"#\O Sanju\Hin=संजू I\Hin=इ love\Hin=लव sanjay\Hin=संजय dutt\Hin=दत्त and\Eng he\Eng is\Eng a\Eng rock\Eng star\Eng not\Eng a\Eng terrorist\Eng ,\O What\Eng a\Eng movie\Eng mahnn\Hin=मह्न्न just\Hin=जस्ट loved\Eng it\Eng ,\O Every\Eng coin\Eng has\Eng t\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O IyvDlCfQwt\Hin=इय्व्ड्ल्च्फ्क़्व्त "\O 
68\O ,\O RT\Hin=अर्त @\O karanjohar\Hin=करंजोहर :\O Encompassing\Eng such\Eng a\Eng tumultuous\Eng and\Eng rollercoaster\Eng life\Eng in\Eng this\Eng duration\Eng ...\O and\Eng still\Eng holding\Eng onto\Eng the\Eng emotional\Eng energy\Eng and\Eng no\Eng …\O 
69\O ,"\O Would\Eng you\Eng hail\Hin=हील #\O Kasab\Eng if\Eng his\Eng was\Eng a\Eng story\Eng of\Eng a\Eng misguided\Eng teenager\Eng ,\O a\Eng victim\Eng of\Eng a\Eng situation\Eng ?\O Even\Eng if\Hin=इफ़ #\O RajkumarHirani\Hin=राजकुमढ़िरनी told\Eng it\Eng ?\O #\O Sanju\Hin=संजू "\O 
70\O ,\O RT\Eng @\O SumitkadeI\Eng :\O #\O MovieReview\Eng watch\Eng out\Eng my\Eng short\Eng Video\Eng review\Eng of\Eng #\O Sanju\Hin=संजू -\O BLOCKBUSTER\Hin=ब्लाकबस्टर by\Eng all\Eng means\Eng .\O Rating\Eng -\O ⭐️⭐️⭐️⭐️\O https\Eng ://\O t\Eng .\O co\Hin=को /\O S4e1FbhvU9\Eng 
