,0\O 
12\O ,"\O Supabbbb\Hin=सुपब्ब्ब्ब !\O Boyses\Eng fan\Eng following\Hin=फॉलोइंग dekho\Hin=देखो Tumhari\Hin=तुम्हारी bhi\Hin=भही badh\Hin=बढ़ rahi\Hin=रही hai\Hin=हैं ;)\EMT 
@\O MissMalini\Hin=मिस्स्मालिनी ko\Hin=को pyaar\Hin=प्यार bhejo\Hin=भेजो chalo\Hin=चलों ❤️\O https\Eng ://\O t\Eng .\O co\Hin=को /\O oEVJOnpAXa\Hin=एव्जोनपग्जा "\O 
13\O ,"\O Whaaaaaat\Hin=व्हाआअत् !\O I\Hin=इ literally\Eng just\Eng did\Eng and\Eng then\Eng I\Eng saw\Eng your\Eng request\Eng .\O Now\Hin=नो I\Hin=इ ’\O m\Hin=म gonna\Hin=गोन्ना play\Hin=प्ले rashke\Hin=रशके qamar\Hin=क़मर for\Hin=फॉर you\Hin=यूं ,\O Ok\Eng ?:)\O https\Eng ://\O t\Eng .\O co\Eng /\O y4bdP7Ssic\Eng "\O 
14\O ,\O Aur\Hin=अर् har\Hin=हार Shaam\Hin=शाअम् Hamari\Hin=हमारी tv\Hin=व par\Hin=प्यार Chamaknewaali\Hin=चमकनेवाली publllleeeek\Hin=पब्ल्ल्ल्लीईईक .\O #\O GoldAwards2018\Eng .\O So\Hin=सो happy\Eng to\Eng present\Eng an\Eng award\Eng !\O https\Eng ://\O t\Eng .\O co\Eng /\O KYpgK13rV4\Eng 
15\O ,\O We\Hin=वी ’\O ll\Hin=ल्ल do\Eng better\Eng than\Eng that\Eng .\O Give\Eng us\Eng your\Eng number\Eng .\O @\O malishkakeboys\Eng you\Hin=यूं know\Hin=क्नो what\Eng to\Eng do\Eng :)\EMT https\Eng ://\O t\Eng .\O co\Hin=को /\O 8sCgpxwKIe\Hin=8स्च्ग्प्क्स्व्किए 
16\O ,\O Dr\Eng Varsha\Hin=वर्षा Rokde\Hin=रोकड़े of\Hin=ऑफ Bachpan\Hin=बचपन Bachao\Hin=बचाओ Andolan\Eng has\Eng just\Eng brilliantly\Eng told\Eng us\Eng what\Eng to\Eng do\Eng when\Eng you\Eng see\Hin=से Chhotu\Hin=छोटू serve\Eng chai\Eng at\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O oaAJp9diiz\Hin=ओआज्प्9अडीज़ 
17\O ,\O RT\Eng @\O virsanghvi\Eng :\O What\Eng frightens\Eng me\Eng is\Eng how\Eng India\Eng has\Eng changed\Eng so\Eng much\Eng that\Eng people\Eng have\Eng no\Eng problems\Eng saying\Eng this\Eng sort\Eng of\Eng garbage\Eng openly\Eng &\O amp\Eng ;\O how\Eng cr\Hin=क्र …\O 
18\O ,@\O Utd\Eng _\O 4evr\Eng _\O Nimish\Hin=निमिश Hahahahaha\Hin=हहहहाह shabaash\Hin=शबाश majhya\Hin=मझ्या wagha\Hin=बाघा :)\EMT 
19\O ,#\O kitnepratishatMumbaikar\Hin=कितनेप्राटिशत्मुंबैकर ...\O Geeli\Hin=गीली Chaddi\Hin=चद्दी pehenkar\Hin=पहेन्कर office\Hin=औफिस gaye\Hin=गाये hain\Hin=हैं kabhi\Hin=कभी na\Hin=ना kabhi\Hin=कभी .\O We\Eng went\Eng out\Eng on\Eng the\Eng streets\Eng to\Eng a\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O iMrYZXaFeD\Hin=इम्र्य्ज़्क्सफ़ेद 
20\O ,\O Cheering\Eng for\Eng Football\Eng is\Eng like\Eng that\Eng orgasm\Eng you\Eng can\Eng have\Eng in\Eng front\Eng of\Eng everyone\Eng !😆\O People\Eng shouting\Eng out\Eng words\Eng the\Eng way\Eng the\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 2yyoYQpSBB\Hin=2य्योय्क्प्स्ब्ब 
21\O ,"\O Can\Hin=सकें you\Eng believe\Eng what\Eng Iceland\Eng managed\Eng ??\O This\Eng World\Eng Cup\Eng is\Eng gonna\Eng blow\Eng our\Eng mindsssss\Eng ,\O mark\Eng my\Eng words\Eng .\O Our\Eng minds\Eng anyway\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O iSbJ9q0Cvt\Eng "\O 
22\O ,"\O This\Eng !\O Ladies\Eng and\Eng gentlemen\Hin=जेनलीमें this\Eng !\O Watch\Eng and\Eng learn\Eng .\O If\Eng @\O AnushkaSharma\Hin=अनष्काशर्मा can\Hin=सकें do\Eng this\Eng being\Eng such\Eng a\Eng celebrated\Eng person\Eng ,\O we\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O uDPMbKKZUj\Hin=उड्प्म्ब्क्क्ज़ुज "\O 
23\O ,\O So\Hin=सो so\Eng true\Eng !\O https\Eng ://\O t\Eng .\O co\Eng /\O xBcRQX2Pfa\Eng 
24\O ,\O Nawwwww\Hin=नव्व्व्व्व् !\O The\Hin=ते rain\Eng had\Eng better\Eng not\Eng mess\Eng with\Eng my\Eng viewing\Eng of\Eng Messi\Eng !\O 😡😡😡\O Attak\Hin=अट्टक ke\Hin=क chal\Hin=चल rahi\Hin=रही hai\Hin=हैं 😭😭😭\O and\Eng there\Eng ’\O s\Eng no\Eng antenna\Eng we\Eng can\Eng set\Eng either\Eng :(\EMT 
25\O ,\O OMG\Eng !\O Good\Eng One\Eng Iceland\Eng !\O Two\Eng places\Eng my\Eng vocal\Eng chords\Eng go\Eng nuts\Eng .\O Either\Eng when\Eng I\Eng ’\O m\Eng on\Eng the\Eng radio\Eng or\Eng when\Eng I\Eng ’\O m\Eng cheering\Eng for\Eng ‘\O t\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 1aLIYjGfhe\Eng 
26\O ,\O What\Hin=वाअत ’\O s\Hin=स #\O Messi\Eng thinking\Eng right\Eng now\Eng ?\O is\Eng there\Eng pressure\Eng ?\O Only\Eng the\Eng whole\Eng world\Eng is\Eng watching\Eng and\Eng sending\Eng him\Eng love\Eng ❤️😳.\O How\Eng m\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O aQd0shcWLw\Eng 
27\O ,"\O May\Eng this\Eng Eid\Eng bring\Eng peace\Eng ,\O joy\Eng and\Eng lots\Eng of\Eng shiir-korma\Hin=शीर्-अकोर्मा our\Hin=आअर way\Eng .\O #\O Amen\Hin=अमं #\O eidmubarak\Hin=एइडमुबारक https\Hin=ह्त्ट्प्स ://\O t\Eng .\O co\Eng /\O VPlmI4TlF5\Eng "\O 
28\O ,\O So\Hin=सो come\Hin=कौमअ on\Eng this\Eng is\Eng Portugal\Eng ’\O s\Eng game\Eng right\Eng ?\O This\Eng @\O Cristiano\Eng blowsssss\Eng MA\Hin=मा mind\Hin=मिंद !\O Look\Eng at\Eng the\Eng focus\Eng on\Eng his\Eng face\Eng as\Eng he\Eng dr\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O khxIm91WOK\Eng 
29\O ,\O Kya\Hin=क्या time\Hin=टाइम par\Hin=प्यार video\Hin=वीडियों liya\Hin=लिया hai\Hin=हैं !!\O Spain\Eng levels\Eng it\Eng .\O #\O ESPPOR\Eng https\Eng ://\O t\Eng .\O co\Eng /\O 6a3SxWSF0c\Eng 
30\O ,"\O It\Eng has\Eng really\Eng begun\Eng !\O In\Eng the\Eng Spain\Eng vs\Eng Goa\Eng oops\Eng Portugal\Eng Match\Eng ,\O the\Eng roguish\Eng Ronaldo\Eng already\Eng stealing\Eng ❤️❤️❤️\O and\Eng goals\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O QkgtFN4PYk\Eng "\O 
31\O ,\O Hamari\Hin=हमारी Iftaar\Hin=इफ़्तार bestest\Eng !\O https\Eng ://\O t\Eng .\O co\Eng /\O Va6SxUEKn9\Eng 
32\O ,"\O Always\Eng ,\O Sir\Eng :)\EMT Thankyou\Eng for\Eng always\Eng making\Eng me\Eng a\Eng part\Eng of\Eng your\Eng initiatives\Eng and\Eng for\Eng the\Eng love\Eng and\Eng respect\Eng from\Eng your\Hin=यर peopl\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O ez9Q5VmfiK\Eng "\O 
33\O ,#\O AboutLastNight\Eng yes\Eng ...\O Iftaar\Hin=इफ़्तार ke\Hin=क liye\Hin=लिये Morning\Hin=मोरनिंग jocks\Eng stay\Eng back\Eng and\Eng dress\Eng up\Eng for\Eng the\Eng night\Eng .\O It\Eng was\Hin=वस lovelyyyy\Hin=लवय्य्यी .\O Thanks\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O LIVBMNnhRY\Hin=लीव्ब्म्न्Mह्री 
34\O ,\O These\Eng kids\Eng from\Eng @\O StemEarth\Eng spent\Eng their\Eng summer\Eng vacay\Eng collecting\Eng and\Eng recycling\Eng plastic\Eng in\Eng Ghatkopar\Eng and\Eng they\Eng ’\O re\Eng fab\Eng !…\O https\Eng ://\O t\Eng .\O co\Eng /\O GpAMBMDvny\Eng 
35\O ,\O Russia\Eng mein\Hin=मेइं khelein\Hin=खेलें wo\Hin=वो ...\O India\Hin=इंडिया mein\Hin=मेइं hum\Hin=हम .\O Has\Hin=हास the\Eng city\Eng fever\Eng gripped\Eng you\Eng yet\Eng ?\O Who\Eng are\Eng you\Eng rooting\Eng for\Eng ?\O Let\Hin=लेत ’\O s\Eng break\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O UHdoFf3OOT\Hin=उहदोफ्फ्3Zऊट 
36\O ,\O Read\Eng .\O https\Eng ://\O t\Eng .\O co\Eng /\O W3R15moCiz\Eng 
37\O ,"\O I\Eng knew\Eng it\Eng !\O बदला\O सिर्फ\O नागिन\O नही\O लेती\O !\O The\Eng sea\Eng will\Eng teach\Eng us\Eng in\Eng her\Eng own\Eng subtle\Eng ,\O not-so-subtle\Eng way\Eng !\O #\O savetheoceans\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZkSgVsOaBn\Hin=अज्क्स्ग्व्सोअब्न "\O 
38\O ,"\O I\Hin=इ ’\O m\Eng very\Eng happy\Eng and\Eng proud\Eng to\Eng present\Eng to\Eng you\Eng this\Eng year\Eng ’\O s\Eng #\O BajaoForACause\Hin=बजाओफोरक्Yज .\O It\Hin=इट ’\O s\Eng been\Eng my\Eng baby\Hin=बेबी ,\O my\Hin=मी heart\Eng and\Eng soul\Eng on\Eng th\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O JMCJeIZQit\Eng "\O 
39\O ,\O This\Eng #\O throwback\Eng #\O BTS\Eng #\O Tumharisulu\Hin=तुम्हरिसुलू video\Eng garnered\Eng some\Eng 2\O mil\Eng +\O views\Eng on\Eng my\Eng insta\Eng so\Hin=सो I\Eng think\Eng Twitter\Eng deserves\Eng it\Eng too\Eng !…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O uiETZI8tQx\Hin=उआइटजि8त्क़्क्स 
40\O ,\O Whaaaaattt\Hin=व्हाआअत्त्ट !!!\O What\Hin=वाअत a\Eng run\Eng you\Eng ’\O ve\Eng had\Eng and\Eng how\Eng beautiful\Eng all\Eng that\Eng you\Eng wrote\Eng .\O Saving\Eng it\Eng for\Eng a\Eng time\Eng when\Eng I\Eng may\Eng need\Eng to\Eng s\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 43kLh4qfFI\Eng 
41\O ,\O There\Eng ’\O s\Eng Something\Eng wrong\Eng with\Eng the\Eng world\Eng today\Eng .\O I\Hin=इ don\Hin=दान ’\O t\Hin=त know\Hin=क्नो what\Eng it\Eng is\Eng .\O RIP\Eng #\O AnthonyBourdain\Eng .…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O BTMeqHVsir\Eng 
42\O ,"\O She\Eng tells\Eng it\Eng like\Eng it\Eng is\Eng !\O @\O ReallySwara\Hin=रिअल्ल्य्स्वरा talking\Eng trolls\Eng ,\O VDW\Eng and\Eng charam\Hin=चरम Sukh\Hin=सुख ;)\EMT https\Eng ://\O t\Eng .\O co\Eng /\O knILn0sP8o\Eng via\Eng @\O Audioboom\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O pha4Ix2Fnm\Hin=फ4इक्स्2फ्न्म "\O 
43\O ,"\O I\Eng speak\Eng to\Eng the\Eng lass\Eng of\Eng the\Eng moment\Eng @\O ReallySwara\Eng ,\O fearlessly\Eng playing\Eng roles\Eng and\Eng taking\Eng on\Eng trolls\Eng 😈\EMT Coming\Eng up\Eng exclusive\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O kwgKRRTzFL\Eng "\O 
44\O ,\O This\Eng just\Eng made\Eng my\Eng day\Eng ❤️❤️❤️\O and\Eng some\Eng part\Eng of\Eng the\Eng night\Eng 🌸🌸🌸\O https\Eng ://\O t\Eng .\O co\Eng /\O 1sD1RrIwvp\Eng 
45\O ,\O Has\Eng anyone\Eng else\Eng noticed\Eng these\Eng Menaka-like\Eng biryani\Eng hoardings\Eng all\Eng over\Eng the\Eng city\Eng ??\O Or\Hin=और is\Eng it\Eng just\Eng visible\Eng to\Eng us\Eng Vishwam\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O BjTGK5lNR1\Eng 
46\O ,\O So\Eng it\Eng has\Eng begun\Eng !\O 🌊⚡️⛈🌧\O How\Eng many\Eng of\Eng you\Eng are\Hin=अरे shiiiiite\Eng scared\Eng right\Eng now\Eng about\Eng the\Eng future\Eng ...\O Like\Eng 1\O hour\Eng from\Eng now\Eng ?!!!…\O https\Eng ://\O t\Eng .\O co\Eng /\O 80lgVVmWeH\Eng 
47\O ,\O That\Eng ’\O s\Eng it\Eng Swara\Hin=स्वरा !\O You\Hin=यूं gotta\Hin=गोट्टा be\Eng on\Eng my\Eng show\Eng .\O Your\Eng replies\Eng to\Eng the\Eng trolls\Eng is\Eng on\Eng point\Eng and\Eng fully\Hin=फुली hilllllaaarrrrious\Hin=हिल्ल्ल्ल्लाअर्र्रियस !\O Hah\Hin=हाह …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O hQdhhtBgkA\Hin=ह्क़्ढ़्त्ब्का 
48\O ,\O I\Hin=इ don\Hin=दान ’\O t\Hin=त know\Eng about\Eng the\Eng BMC\Eng but\Eng the\Eng pressure\Eng on\Eng me\Hin=मे to\Eng sing\Eng the\Eng opposite\Eng of\Eng Raag\Hin=राअग् Malhar\Hin=मल्हार is\Eng pretty\Eng high\Eng !\O 😄\EMT Honoured\Eng to\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O onwsbaqwZY\Hin=ओनव्सबक़्व्न्जी 
49\O ,@\O rjrishikapoor\Eng @\O RedFM\Eng _\O Mumbai\Eng @\O RedFMIndia\Eng You\Eng are\Hin=अरे hamri\Hin=हमरी kachchi\Hin=कच्ची Naagin\Hin=नागिन rrre\Hin=र्र्रे !\O Kaala\Hin=काला teeka\Hin=तीका kaan\Hin=कान ke\Hin=क peechche\Hin=पीच्ह्चे .\O 😍\EMT Hashtag\Hin=हश्तग -\O nazar\Hin=नज़र naa\Hin=ना lagey\Hin=लगे types\Eng 😄\EMT 
50\O ,\O The\Eng Captain\Eng has\Eng spoken\Eng ...\O again\Eng ..\O this\Eng time\Eng to\Eng us\Eng @\O RedFM\Eng _\O Mumbai\Eng .\O The\Eng team\Eng ’\O s\Eng power\Eng lies\Eng in\Eng our\Eng cheers\Eng .\O Give\Hin=गिव it\Eng to\Eng t\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O mxlmCeLIGp\Eng 
51,.\O @\O chetrisunil11\Eng was\Eng a\Eng name\Eng I\Eng associated\Eng with\Eng my\Eng country\Eng ’\O s\Eng #\O football\Eng team\Eng from\Eng afar\Eng .\O Today\Eng I\Eng have\Eng the\Eng honour\Eng of\Eng spe\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 7KSMeZsntG\Eng 
52\O ,\O Thanks\Eng @\O nisha\Hin=निशा _\O narayanan\Hin=नारायनन for\Eng nominating\Eng me\Eng for\Eng the\Hin=ते #\O HumFitTohIndiaFit\Hin=हम्फिट्तोहिंडिअफित challenge\Hin=चलेंगे .\O Last\Eng eve\Eng was\Eng perfect\Eng to\Eng show\Eng One\Hin=ओन ho\Hin=ह …\O https\Eng ://\O t\Eng .\O co\Eng /\O TJTOEK3rkV\Eng 
53\O ,\O Hell\Eng yeah\Eng !\O #\O WorldEnvironmentDay2018\Eng https\Eng ://\O t\Eng .\O co\Eng /\O 86vmoKYYLU\Eng 
54\O ,\O You\Eng didn\Eng ’\O t\Eng go\Hin=गो ??\O And\Eng yet\Eng you\Hin=यूं know\Eng :)\EMT Good\Eng job\Eng !!\O https\Eng ://\O t\Eng .\O co\Eng /\O NSGV6hs0VO\Eng 
55\O ,\O The\Eng experiment\Eng is\Eng over\Eng .\O Elphinstone\Eng Bridge\Eng And\Eng Currey\Eng Road\Eng Bridge\Eng are\Eng two\Eng ways\Eng Again\Eng .\O It\Hin=इट wasn\Hin=वस्न ’\O t\Eng working\Eng out\Eng in\Eng the\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O ml7B6JIyFE\Eng 
56\O ,\O Captain\Eng didn\Eng ’\O t\Eng forget\Eng to\Eng put\Eng the\Eng fans\Eng first\Eng 😍😍😍\O What\Eng a\Eng win\Eng !\O Congrats\Eng to\Eng the\Eng team\Eng and\Eng us\Eng who\Eng filled\Eng the\Eng stadium\Eng with\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O ezb3Yx6tnF\Eng 
57\O ,\O Hahaha\Hin=हहाह .\O My\Hin=मी Ajji\Hin=अज्यी boldesst\Eng ;)\EMT https\Eng ://\O t\Eng .\O co\Hin=को /\O fBkugfNlQh\Hin=फ्ब्कुग्फ्न्ल्क़् 
58\O ,\O This\Hin=तीस @\O rjrishikapoor\Hin=र्जरीशिकपूर is\Eng the\Hin=ते beshhttt\Hin=बेश्ट्त dancer\Hin=डांसर at\Eng any\Eng radio\Eng station\Eng this\Eng side\Eng of\Eng the\Eng equator\Eng I\Eng tell\Hin=टेल you\Hin=यूं and\Eng that\Eng woman\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 9f7SB5zmH0\Eng 
59\O ,"\O What\Eng the\Hin=ते whatttt\Hin=वाअट्त्त्त !!!\O Plants\Eng rolling\Eng across\Eng roads\Eng ,\O coconut\Eng branches\Eng falling\Eng ,\O banging\Eng windows\Eng ,\O rain\Eng water\Eng inside\Eng ,\O sca\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O P2oBprS58S\Eng "\O 
60\O ,\O Coz\Hin=कोज़ the\Eng Captain\Eng commanded\Eng most\Eng sweetly\Eng :)...\O We\Eng are\Eng gonna\Hin=गोन्ना be\Eng there\Eng this\Eng eve\Eng as\Eng India\Eng takes\Eng on\Eng Kenya\Eng on\Eng the\Eng footy\Eng fiel\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O jM9Lrul1zN\Hin=ज्म्9ल्रुल्1ज्न 
61\O ,\O Represent\Eng !\O We\Eng are\Eng there\Eng :)\EMT #\O redwithblue\Eng @\O RedFM\Eng _\O Mumbai\Eng @\O RedFMIndia\Eng https\Eng ://\O t\Eng .\O co\Eng /\O iTC93KWgpl\Eng 
62\O ,\O It\Eng is\Eng !!!\O OMG\Eng !\O Somebody\Eng watch\Eng it\Eng quick\Eng and\Eng tell\Eng me\Eng if\Eng it\Eng will\Eng all\Eng be\Eng good\Eng .\O I\Hin=इ ’\O m\Eng watching\Eng with\Eng half\Eng of\Eng one\Eng eye\Eng open\Eng 😃\EMT https\Eng ://\O t\Eng .\O co\Eng /\O jrQ8QSV912\Eng 
63\O ,\O Awww\Hin=आव्व्व् !\O This\Eng is\Eng a\Eng morning\Eng for\Eng teary-eyed-nesss\Eng messs\Eng !\O ❤️❤️❤️\O https\Eng ://\O t\Eng .\O co\Eng /\O 9ijrwZb13m\Eng 
64\O ,"\O Bhai\Eng ,\O reputation\Eng ka\Hin=का kya\Hin=क्या hai\Hin=हैं .\O SM\Hin=स्म par\Hin=प्यार roz\Hin=रोज bante-bigadtey\Hin=बंटे-बीगड्ते rehte\Hin=रहते hain\Hin=हैं magar\Hin=मगर ye\Hin=ये jo\Hin=ज sach\Hin=सच ugla\Hin=उगला hai\Hin=हैं aapki\Hin=आपकी saheliyon\Hin=सहेलियों ne\Hin=ने ...\O m\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 5yOvh2gc98\Eng "\O 
65\O ,"\O You\Hin=यूं had\Eng me\Eng at\Eng hello\Eng ,\O Captain\Eng ...\O and\Eng then\Eng I\Eng teared\Eng up\Eng a\Eng little\Eng .\O I\Eng pledge\Eng my\Eng support\Eng in\Eng getting\Eng people\Eng there\Eng .\O Go\Hin=गो Tea\Hin=टिया …\O https\Eng ://\O t\Eng .\O co\Eng /\O 2m5llUdgg1\Eng "\O 
66\O ,\O My\Eng grand\Eng mother\Eng wouldn\Eng ’\O t\Eng be\Eng upset\Eng watching\Eng this\Eng film\Eng for\Eng the\Eng ‘\O masterabation\Eng ’\O scene\Eng .\O No\Eng Girl\Eng .\O Not\Eng for\Eng that\Eng .…\O https\Eng ://\O t\Eng .\O co\Eng /\O RFj0qXE5CO\Eng 
67\O ,"\O Mausam\Hin=मौसम ka\Hin=का bhi\Hin=भही alag\Hin=अलग politics\Eng chalta\Hin=चलता hai\Hin=हैं !\O Baarish\Hin=बारिश garaj\Hin=गराज ke\Hin=क aane\Hin=आने ka\Hin=का announcement\Eng Karne\Hin=करने kya\Hin=क्या lagi\Hin=लगी ,\O phoolon\Hin=फूलों ne\Hin=ने apna\Hin=अप्ना mooh\Hin=मूह …\O https\Eng ://\O t\Eng .\O co\Eng /\O hoqbkDNN9u\Eng "\O 
68\O ,\O Ahem\Eng !\O 😈\EMT https\Eng ://\O t\Eng .\O co\Hin=को /\O 4D6LqkvjyU\Hin=4द्6ल्क़्क्व्ज्यु 
69\O ,"\O He\Eng is\Eng a\Eng cat\Eng ,\O this\Eng one\Eng ;)\EMT https\Eng ://\O t\Eng .\O co\Eng /\O n2Vro8ZiKt\Eng "\O 
70\O ,\O Awwwwwwwwwe\Hin=आव्व्व्व्व्व्व्व्वे ❤️\O https\Eng ://\O t\Eng .\O co\Eng /\O XJ4uEcFiVC\Eng 
71\O ,\O Sonu\Hin=सोनू is\Hin=इस Alive\Eng !!\O 😳😄😄😄\O #\O nightout\Eng #\O Mumbaipeeps\Eng https\Eng ://\O t\Eng .\O co\Eng /\O dcmhcs6reW\Eng 
72\O ,\O Currey\Hin=करे Road\Eng troubled\Eng you\Eng today\Eng ?\O What\Eng about\Eng Elphinstone\Eng Bridge\Eng ?\O Did\Hin=दीद you\Eng climb\Eng the\Eng footpaths\Eng with\Eng your\Eng vehicle\Eng !\O What\Eng ’…\O https\Eng ://\O t\Eng .\O co\Eng /\O H95JJnKGLZ\Eng 
73\O ,\O Memorise\Eng this\Eng map\Eng till\Eng the\Eng 15th\Eng of\Eng this\Eng month\Eng !\O Currey\Eng Road\Eng bridge\Eng and\Eng Elphinstone\Eng Bridge\Eng are\Eng one\Eng way\Eng each\Eng .\O The\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O yo2MtruBXz\Eng 
74\O ,\O Umm\Eng yes\Hin=येस 😈\EMT On\Hin=ओं my\Eng morning\Eng show\Eng tomorrow\Eng Catch\Eng this\Eng man\Eng who\Eng broke\Eng the\Eng internet\Eng ;)\EMT @\O RedFM\Eng _\O Mumbai\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O VXJsechhrO\Hin=व्क्स्जसेछरो 
