,id,tweet
31,31\O ,"“\O Yaad\Hin=याद aa\Hin=आआ jaye\Hin=जाये to\Hin=तू tera\Hin=तेरा naam\Hin=नाअम् leke\Hin=लेके jhoom\Hin=झूम lu\Hin=लू 
Shaam\Hin=शाअम् aa\Hin=आआ jaye\Hin=जाये to\Hin=तू uth\Hin=उठ ke\Hin=क 
Chaand\Hin=चाँद ka\Hin=का maatha\Hin=माथा choom\Hin=चूम lu\Hin=लू 
Ve\Hin=वी main\Hin=मां saare\Hin=सारे dukh\Hin=दुख sehna\Hin=सहना …\O https\Eng ://\O t\Eng .\O co\Eng /\O XC1SBe0jHx\Eng \O "
32,32\O ,\O The\Eng magnificent\Eng trio's\Eng melody\Hin=मेलोडी #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ is\Hin=इस spreading\Eng love\Eng in\Eng the\Eng air\Eng this\Eng season\Eng .\O Check\Eng out\Eng the\Eng making\Eng of\Eng th\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O Y1ssT4Idvz\Eng 
33,33\O ,"\O RT\Eng @\O sonymusicindia\Eng :\O Give\Eng your\Eng callers\Eng a\Eng soulful\Eng treat\Eng !\O Dial\Eng the\Eng code\Eng &\O amp\Eng ;\O set\Hin=सेत #\O IshqDiBaajiyan\Hin=इश्क़्दीबाजियाँ from\Hin=फ्रोम #\O Soorma\Hin=सूर्मा as\Hin=आस your\Eng caller\Eng tune\Eng now\Eng .\O 

@\O DiljitDo\Hin=दिलजितडों …\O "
34,34\O ,\O I\Hin=इ know\Eng she\Eng is\Eng a\Eng happy\Eng soul\Eng but\Eng that\Eng ’\O s\Hin=स my\Hin=मी sister\Eng and\Eng we\Eng aren\Eng ’\O t\Eng twins\Eng !\O 🤷🏻‍♀️\O https\Eng ://\O t\Eng .\O co\Hin=को /\O zaOcQrzpLL\Hin=ज़ाओच्क़्र्ज्प्ल 
36,36\O ,"\O RT\Eng @\O sonypicsprodns\Eng :\O With\Eng its\Eng magical\Eng melody\Hin=मेलोडी ,\O #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ is\Hin=इस winning\Eng hearts\Eng of\Eng all\Eng !\O 10\O Million\Eng views\Eng and\Eng counting\Eng 😍\EMT 

https\Eng ://\O t\Eng .\O co\Eng /\O 7MrfXy\Eng …\O "
37,37\O ,"\O A\Eng glimpse\Eng from\Eng my\Eng super\Eng fun\Eng vacay\Eng in\Eng Rome\Eng .\O For\Eng more\Eng deets\Eng ,\O stay\Eng tuned\Eng and\Eng follow\Eng @\O mykoovs\Eng as\Eng they\Eng unravel\Eng my\Eng Roman\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O sRVYnvjspa\Hin=श्र्व्य्न्व्ज्स्पा \O "
38,38\O ,"\O Between\Eng my\Eng craziness\Eng n\Eng madness\Eng I\Eng learnt\Eng a\Eng little\Eng bit\Eng of\Eng this\Eng wonderful\Eng sport\Eng !\O https\Eng ://\O t\Eng .\O co\Eng /\O CCD08FaaCW\Eng 
Coach\Hin=कोअच् saab\Eng w\Hin=व् …\O https\Eng ://\O t\Eng .\O co\Eng /\O 4QUufua1us\Eng \O "
39,39\O ,"\O RT\Eng @\O sonymusicindia\Eng :\O The\Eng world\Eng can't\Eng help\Eng but\Eng fall\Eng in\Eng love\Eng with\Hin=विद #\O IshqDiBaajiyan\Hin=इश्क़्दीबाजियाँ !\O #\O Soorma\Hin=सूर्मा 
Watch\Eng the\Eng song\Eng here\Eng :\O https\Eng ://\O t\Eng .\O co\Hin=को /\O kkbvooH7iw\Hin=क्कब्वूह्7इव् 

@\O Dilj\Eng …\O "
40,40\O ,"\O RT\Hin=अर्त @\O diljitdosanjh\Hin=दिलजितडोसाँझ :\O Dekhiye\Hin=देखिये humari\Hin=हमारी #\O Harpreet\Hin=हरप्रीत aka\Hin=अका @\O Taapsee\Hin=टापसी ki\Hin=की mehnat\Hin=मेहनत aur\Hin=अर् lagan\Hin=लगन !\O https\Eng ://\O t\Eng .\O co\Eng /\O aHQZflKxz2\Eng 
@\O sonypicsprodns\Eng @\O Imangadbedi\Eng @\O flicker\Eng …\O "
42,42\O ,"\O Tere\Hin=तेरे bin\Hin=बिन ,\O bin\Hin=बिन tere\Hin=तेरे sufiyon\Hin=सूफियों ke\Hin=क dere\Hin=देरे 
Dekh\Hin=देख maine\Hin=मैंने kitne\Hin=कितने lagaye\Hin=लगाये phere\Hin=फहरे addiye\Hin=एड्डिये 
chhod\Hin=छोड़ ke\Hin=क bhi\Hin=भही jana\Hin=जाना ho\Hin=ह to\Hin=तू 
Hari\Hin=हरी bhari\Hin=भारी beri\Hin=बेरी tal\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 4fOySX4rwO\Hin=4फोइस्क्स्4रवो \O "
44,44\O ,\O And\Eng the\Eng day\Eng is\Eng made\Eng !\O #\O Soorma\Eng 13th\Eng July\Eng !\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 9gg6pDcFzB\Eng 
45,45\O ,\O Je\Hin=जे baat\Hin=बात !!!!!!\O 💪🏼\O https\Eng ://\O t\Eng .\O co\Hin=को /\O QIXUnyE3e2\Hin=क़िग्जुने3ए2 
46,46\O ,\O It\Hin=इट ’\O s\Eng on\Eng n\Eng kicking\Hin=किकिंग 💪🏼\O #\O Badla\Hin=बदला https\Eng ://\O t\Eng .\O co\Hin=को /\O nNSqTZg7Tj\Hin=नन्स्क़्ट्ज्ग्7त्ज 
47,47\O ,\O RT\Eng @\O sonymusicindia\Eng :\O Spread\Eng the\Eng love\Eng by\Eng sharing\Eng your\Eng cover\Eng versions\Eng of\Hin=ऑफ #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ using\Hin=उसिंग #\O SurWithSoorma\Hin=सुरविदसूर्मा &\O amp\Hin=अम्प ;\O @\O ShankarEhsanLoy\Hin=शंअकारहसनलौय pick\Hin=पाइक the\Eng bes\Eng …\O 
48,48\O ,"\O Ishq\Hin=इश्क़ di\Hin=दी .....\O baajiyaan\Hin=बाजियाँ .....\O jeetiyaan\Hin=जीतियाँ ....\O naa\Hin=ना haariyaan\Hin=हारियाँ ❤️\O 
Share\Hin=शारे the\Eng love\Hin=लव !!!!\O #\O Ishqdibaajiyaan\Hin=इश्क़्दीबाजियाँ #\O Soorma\Hin=सूर्मा https\Eng ://\O t\Eng .\O co\Eng /\O o4LGNZYZvQ\Eng \O "
49,49\O ,@\O AnushaManiMusic\Hin=अनशमणिम्यूजिक @\O Shankar\Eng _\O Live\Hin=लाइव @\O EhsaanNoorani\Hin=एहसानूरानी @\O loy\Hin=लौय @\O diljitdosanjh\Hin=दिलजितडोसाँझ @\O sonymusicindia\Hin=सोंइम्यूजिइंधिया Naaaaice\Hin=नाआआइस !\O 
50,50\O ,\O Isn\Eng ’\O t\Eng it\Eng beautiful\Eng !!!???!!!\O What\Eng magic\Eng by\Eng #\O Gulzar\Hin=गुलज़ार saab\Hin=साब @\O ShankarEhsanLoy\Hin=शंअकारहसनलौय and\Hin=एंड @\O diljitdosanjh\Hin=दिलजितडोसाँझ 👏🏼👏🏼👏🏼👏🏼👏🏼🏑…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O QvuhznbaeF\Hin=क़्वुह्ज्नबिफ 
51,51\O ,"\O RT\Eng @\O sonymusicindia\Eng :\O Trending\Eng soon\Eng after\Eng launch\Eng !\O 
That's\Eng the\Eng power\Eng of\Eng love\Eng !\O 
Lose\Eng yourself\Eng to\Eng the\Eng melodious\Eng tunes\Eng of\Hin=ऑफ #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ Out\Hin=आउट No\Hin=नो …\O "
53,53\O ,"\O Come\Eng ,\O fall\Eng in\Eng love\Eng with\Hin=विद #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ !\O My\Hin=मी favorite\Eng ,\O penned\Eng by\Eng #\O Gulzar\Hin=गुलज़ार saab\Eng ,\O composed\Eng by\Eng @\O ShankarEshanLoy\Hin=शंअकारेशानलौय and\Hin=एंड sun\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O hfinBDmv6C\Eng \O "
54,54\O ,"\O RT\Eng @\O sonypicsprodns\Eng :\O The\Eng countdown\Eng begins\Hin=बेगिंस !\O #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ will\Hin=विल make\Eng your\Eng hearts\Eng sing\Eng !\O Out\Eng in\Eng one\Eng hour\Eng .\O 

@\O diljitdosanjh\Hin=दिलजितडोसाँझ @\O taapsee\Hin=टापसी @\O Imangadbe\Hin=इमंगडबे …\O "
55,55,😍😍😍\O https\Eng ://\O t\Eng .\O co\Hin=को /\O RMt2hUWYrM\Hin=र्म्त्2उव्य्र्म 
56,56\O ,\O Only\Eng a\Eng few\Eng more\Eng hours\Eng to\Eng go\Hin=गो !\O Ishq\Hin=इश्क़ di\Hin=दी baajiyaan\Hin=बाजियाँ penned\Eng by\Eng the\Eng great\Eng #\O Gulzar\Hin=गुलज़ार Saab\Hin=साब and\Eng music\Eng by\Hin=बी @\O ShankarEhsanLoy\Hin=शंअकारहसनलौय …\O https\Eng ://\O t\Eng .\O co\Eng /\O ejy0hiO3QH\Eng 
58,58\O ,"\O Andddddd\Hin=अंद्द्द्द्द .....\O we\Hin=वी are\Eng back\Eng !!!!!!\O 

🧐\O Even\Eng my\Eng own\Eng camera\Eng prefers\Eng to\Eng focus\Eng on\Eng him\Eng !\O #\O Rockstar\Hin=रॉक्स्टार #\O Badla\Hin=बदला #\O SujoyGhosh\Hin=सुजौय्घोश https\Eng ://\O t\Eng .\O co\Eng /\O r2tk0htfjw\Eng \O "
59,59\O ,\O RT\Hin=अर्त @\O diljitdosanjh\Hin=दिलजितडोसाँझ :\O Tomorrow\Hin=तोमोर्रो 😍\EMT #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ With\Hin=विद One\Eng &\O amp\Eng ;\O Only\Hin=ओन्ली #\O GulzaarSaab\Hin=गुलज़ारसाब &\O amp\Hin=अम्प ;\O Hamare\Hin=हमारे Baut\Hin=बौत Hee\Hin=ही Pyare\Hin=प्यारे @\O Shankar\Hin=शंकर _\O Live\Hin=लाइव @\O ShankarEhsanLoy\Hin=शंअकारहसनलौय Ji\Hin=जी 😊🙏…\O 
61,61\O ,"\O Challenge\Eng your\Eng limits\Eng .\O Don't\Eng limit\Eng your\Eng challenge\Eng !\O 
Can\Hin=सकें you\Eng break\Eng the\Eng 145\O /\O kmph\Eng drag-flick\Eng speed\Eng record\Eng of\Eng India's\Eng H\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O iy2Nw3ddyD\Eng \O "
62,62\O ,\O I\Eng am\Hin=आम waiting\Eng as\Eng impatiently\Eng as\Eng you\Eng all\Hin=अऔल 😁\O #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ #\O Soorma\Hin=सूर्मा https\Eng ://\O t\Eng .\O co\Eng /\O QQEafA585R\Eng 
63,63\O ,"\O Suniye\Hin=सुनिये mera\Hin=मेर favourite\Hin=फवरिते gaana\Hin=गाना .....\O #\O Gulzar\Hin=गुलज़ार Saab\Hin=साब aur\Hin=अर् @\O ShankarEhsanLoy\Hin=शंअकारहसनलौय ke\Hin=क pyaar\Hin=प्यार bhare\Hin=भरे jazbaat\Hin=जज़्बात ,\O aur\Hin=अर् aapke\Hin=आपके ‘\O on\Hin=ओं screen\Eng ’…\O https\Eng ://\O t\Eng .\O co\Eng /\O eb63RWYLhi\Eng \O "
66,66\O ,@\O juniorbachchan\Hin=जूनिय्रबचचान @\O anuragkashyap72\Eng But\Eng isn\Eng ’\O t\Eng that\Eng veg\Eng ???\O 
67,67\O ,\O My\Hin=मी favourite\Eng one\Eng from\Eng the\Eng album\Eng !\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 2YlW8ntrTo\Hin=2आइलव्8Mट्रटो 
68,68\O ,"\O RT\Hin=अर्त @\O diljitdosanjh\Hin=दिलजितडोसाँझ :\O One\Hin=ओन of\Eng my\Eng toughest\Eng roles\Eng till\Eng date\Eng !\O 
https\Eng ://\O t\Eng .\O co\Hin=को /\O jLWx21rkra\Eng 
@\O flickersingh\Eng paaji\Hin=पाजी ,\O thank\Hin=थान्क you\Eng for\Eng mentoring\Eng me\Eng all\Eng the\Eng way\Eng …\O "
69,69\O ,@\O Riteishd\Hin=रीतेइश्ड़ @\O sujoy\Eng _\O g\Hin=ग Please\Hin=प्लीअज् do\Hin=दो 🙏🏼\O aapko\Hin=आपको humaare\Hin=हमारे unit\Hin=ऊनित ki\Hin=की duaaein\Hin=दुआएं lagengi\Hin=लगेंगी 
70,70\O ,@\O sujoy\Eng _\O g\Hin=ग Today\Eng we\Eng will\Eng try\Eng a\Eng different\Eng expression\Eng haan\Hin=हान !\O 
71,71\O ,@\O Shibasishsarkar\Hin=शिबसिशसरकर @\O SunirKheterpal\Hin=सुनिरखेतरपल @\O SrBachchan\Hin=शरबचचान @\O iamsrk\Hin=इयाम्स्र्क @\O RedChilliesEnt\Hin=रैडचिलिजेंट @\O sujoy\Eng _\O g\Hin=ग @_\O GauravVerma\Hin=गौरव्वेर्मा @\O PuriAkshai\Hin=पूरिअक्शाई …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O w6sUjRDJIu\Hin=व्6सुजिदजिव 
72,72\O ,"\O All\Eng set\Eng to\Eng repeat\Eng the\Eng magic\Eng 😉\EMT 
@\O SrBachchan\Hin=शरबचचान 
@\O sujoy\Eng _\O g\Eng @\O RedChilliesEnt\Hin=रैडचिलिजेंट @\O iAmAzure\Eng 
@\O sunirkheterpal\Hin=सुनिरखेतरपल @\O puriakshai\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O 2BuqhcqFi2\Hin=2बुक़्च्क़्फि2 \O "
73,73\O ,@\O sujoy\Eng _\O g\Hin=ग @\O SrBachchan\Hin=शरबचचान But\Hin=बुत where\Eng is\Eng the\Eng party\Eng ?\O Why\Eng wasn\Eng ’\O t\Hin=त I\Hin=इ invited\Eng for\Eng it\Eng !??\O I\Eng thought\Eng we\Eng are\Eng a\Eng part\Eng of\Eng the\Eng same\Eng team\Eng ???!!!\O 
74,74\O ,@\O sujoy\Eng _\O g\Hin=ग Aur\Hin=अर् darr\Hin=डर्र mein\Hin=मेइं Shahrukh\Hin=शाहरुख 😎\EMT 
75,75\O ,@\O Salilacharya\Hin=सलीलचार्य @\O sujoy\Hin=सुजॉय _\O g\Hin=ग U\Hin=उ should\Eng be\Eng live\Eng present\Eng on\Eng our\Eng sets\Eng to\Eng see\Eng it\Eng n\Eng believe\Eng it\Eng !\O 
76,76\O ,@\O sujoy\Eng _\O g\Hin=ग Are\Hin=अरे u\Eng scaring\Eng me\Eng !!!!??\O 
77,77\O ,"\O RT\Eng @\O NGEMovies\Eng :\O Take\Eng a\Eng moment\Eng &\O amp\Eng ;\O Caption\Eng this\Eng !\O 

@\O taapsee\Hin=टापसी #\O DavidDhawan\Hin=डेविद्धावन #\O SajidNadiadwala\Hin=सजिडनाड्याड्वाला @\O WardaNadiadwala\Hin=वरदनाड्याड्वाला #\O Judwaa2\Hin=जुड्व़अ2 https\Eng ://\O t\Eng .\O co\Hin=को /\O 4dOZQjEmPs\Hin=4दज़्क़्जेंप \O "
78,78\O ,@\O Nnidhisin\Hin=निधिसीन We\Hin=वी r\Eng also\Eng waiting\Eng here\Eng .\O In\Eng Scotland\Eng .\O When\Eng r\Hin=र u\Eng coming\Eng ???\O 
79,79\O ,@\O varunsharma90\Eng @\O diljitdosanjh\Hin=दिलजितडोसाँझ @\O Imangadbedi\Hin=इमंगडबेदी Thankq\Eng Varun\Eng 😁\O 
80,80\O ,@\O vrindaprasad\Eng @\O sonypicsprodns\Eng @\O flickersingh\Eng @\O diljitdosanjh\Hin=दिलजितडोसाँझ @\O Imangadbedi\Hin=इमंगडबेदी @\O shaadesh\Hin=शादेश @\O SnehaRajani\Hin=स्नेहरजनी @\O IChitrangda\Hin=इचित्रांगडा Thankq\Hin=थन्क्क़ 😁\O 
81,81\O ,"\O RT\Hin=अर्त @\O diljitdosanjh\Hin=दिलजितडोसाँझ :\O ＳＯＯＲＭＡ\O 

Trailer\Eng -\O https\Eng ://\O t\Eng .\O co\Eng /\O xt3E4y0job\Eng 

@\O sonypicsprodns\Hin=सोंआइपिक्स्प्रोड्न @\O taapsee\Eng @\O Imangadbedi\Eng @\O flickersingh\Eng @\O SnehaRajani\Hin=स्नेहरजनी #\O ShaadAliSir\Hin=शादलिसिर …\O "
82,82\O ,@\O ShoojitSircar\Eng @\O Imangadbedi\Hin=इमंगडबेदी Arre\Hin=अर्रे wah\Hin=वाह !\O U\Hin=उ liked\Eng !!!\O Divine\Eng moment\Eng for\Eng us\Eng !\O 
83,83\O ,@\O sidd\Hin=सिद _\O rao\Hin=राव What\Eng all\Eng a\Eng struggling\Eng actor\Eng has\Eng to\Eng do\Eng 😢\EMT and\Eng thank\Eng u\Hin=उ bro\Hin=बरो !\O Will\Hin=विल we\Eng collect\Eng well\Eng in\Eng chennai\Hin=चेन्नई u\Hin=उ think\Hin=थिन्क 🧐\O 
84,84\O ,"\O Setting\Eng the\Eng right\Eng mood\Hin=म्zद 🤓\O 
#\O ProjectNumber26\Eng https\Eng ://\O t\Eng .\O co\Eng /\O 5KHSzfWwQ2\Eng \O "
85,85\O ,@\O sujoy\Eng _\O g\Hin=ग U\Hin=उ need\Eng to\Eng answer\Eng my\Eng questions\Eng 💁🏻‍♀️\O 
86,86\O ,"\O From\Eng the\Eng first\Eng day\Eng of\Eng shoot\Eng for\Eng #\O Soorma\Hin=सूर्मा 
What\Eng a\Eng challenge\Eng and\Eng at\Eng the\Eng same\Eng time\Eng an\Eng honour\Eng to\Eng be\Eng playing\Eng this\Eng sport\Eng !…\O https\Eng ://\O t\Eng .\O co\Eng /\O dL8VFHl2Bc\Eng \O "
87,87\O ,@\O aliaa08\Eng @\O diljitdosanjh\Hin=दिलजितडोसाँझ Thankq\Hin=थन्क्क़ Alia\Eng :)\EMT 
88,88\O ,@\O RanveerOfficial\Eng @\O diljitdosanjh\Hin=दिलजितडोसाँझ Thankq\Hin=थन्क्क़ gully\Eng boy\Eng !\O 
